LotShape,SalePrice
IR1,240000.0
Reg,240000.0
IR1,239900.0
Reg,239799.0
IR1,239686.0
IR1,239500.0
IR1,239000.0
IR1,239000.0
IR1,239000.0
IR1,239000.0
IR1,239000.0
IR1,239000.0
IR1,238000.0
IR1,237500.0
IR1,237000.0
Reg,237000.0
IR1,236500.0
Reg,236500.0
IR1,236000.0
Reg,236000.0
Reg,235128.0
Reg,235000.0
Reg,235000.0
IR1,235000.0
IR1,235000.0
Reg,235000.0
IR1,235000.0
Reg,235000.0
Reg,234000.0
Reg,234000.0
Reg,233230.0
IR1,233170.0
IR1,233000.0
Reg,232600.0
IR1,232000.0
Reg,232000.0
IR2,232000.0
IR1,231500.0
Reg,231500.0
IR1,230500.0
Reg,230000.0
IR1,230000.0
IR1,230000.0
Reg,230000.0
IR1,230000.0
IR1,230000.0
IR1,230000.0
Reg,230000.0
Reg,229456.0
IR1,229000.0
IR1,228950.0
Reg,228500.0
Reg,228500.0
IR1,228000.0
IR2,228000.0
Reg,227875.0
IR1,227680.0
Reg,227000.0
IR1,227000.0
Reg,227000.0
Reg,226700.0
IR1,226000.0
Reg,226000.0
Reg,226000.0
Reg,225000.0
Reg,225000.0
Reg,225000.0
Reg,225000.0
IR1,225000.0
IR1,225000.0
IR2,224900.0
Reg,224900.0
IR1,224500.0
IR1,224000.0
IR1,224000.0
IR1,223500.0
Reg,223500.0
IR1,223000.0
IR1,222500.0
IR1,222500.0
IR2,222000.0
IR1,222000.0
IR1,222000.0
IR1,221500.0
IR1,221000.0
IR2,221000.0
IR1,220000.0
Reg,220000.0
Reg,220000.0
IR1,220000.0
IR1,220000.0
Reg,219500.0
Reg,219500.0
Reg,219500.0
IR1,219210.0
IR1,218000.0
Reg,217500.0
Reg,217000.0
IR1,217000.0
Reg,216837.0
Reg,216500.0
Reg,216000.0
Reg,215200.0
IR1,215000.0
IR1,215000.0
IR1,215000.0
IR1,215000.0
Reg,215000.0
IR1,215000.0
IR3,215000.0
IR1,215000.0
Reg,214900.0
IR1,214500.0
IR1,214000.0
Reg,214000.0
IR1,214000.0
IR1,214000.0
IR1,214000.0
IR1,213500.0
Reg,213500.0
Reg,213490.0
Reg,213250.0
Reg,213000.0
Reg,213000.0
Reg,213000.0
Reg,212900.0
IR2,212000.0
IR1,212000.0
IR1,212000.0
IR1,211000.0
IR1,211000.0
Reg,210000.0
Reg,210000.0
Reg,210000.0
IR1,210000.0
Reg,210000.0
Reg,209500.0
Reg,208900.0
Reg,208900.0
Reg,208500.0
IR1,208300.0
IR1,207500.0
IR1,207500.0
Reg,207500.0
IR1,207500.0
Reg,207500.0
Reg,207000.0
Reg,207000.0
Reg,206900.0
Reg,206300.0
Reg,206000.0
Reg,205950.0
IR1,205000.0
IR1,205000.0
Reg,205000.0
IR1,205000.0
Reg,205000.0
Reg,205000.0
IR1,204900.0
IR1,204750.0
IR1,204000.0
IR1,204000.0
Reg,203000.0
Reg,203000.0
Reg,202900.0
IR1,202665.0
IR1,202500.0
Reg,202500.0
IR1,202500.0
IR1,201800.0
IR1,201000.0
IR1,201000.0
IR1,201000.0
IR1,200624.0
Reg,200500.0
IR1,200500.0
IR1,200141.0
Reg,200100.0
IR1,200000.0
Reg,200000.0
IR1,200000.0
Reg,200000.0
IR1,200000.0
Reg,200000.0
IR1,200000.0
Reg,200000.0
IR1,199900.0
IR1,199900.0
IR1,198900.0
Reg,198500.0
Reg,197900.0
Reg,197900.0
IR1,197900.0
Reg,197500.0
IR1,197500.0
Reg,197000.0
Reg,197000.0
IR1,197000.0
Reg,197000.0
IR1,196500.0
Reg,196500.0
IR2,196000.0
IR1,196000.0
IR1,196000.0
Reg,195400.0
IR1,195000.0
IR1,195000.0
IR2,195000.0
IR1,194700.0
IR1,194500.0
Reg,194500.0
IR1,194500.0
Reg,194201.0
Reg,194000.0
Reg,194000.0
IR1,194000.0
Reg,193879.0
Reg,193500.0
Reg,193500.0
Reg,193000.0
IR1,193000.0
IR1,193000.0
Reg,192500.0
IR1,192500.0
IR3,192140.0
IR1,192000.0
Reg,192000.0
IR1,192000.0
Reg,192000.0
Reg,192000.0
IR1,191000.0
Reg,191000.0
Reg,191000.0
IR1,191000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
Reg,190000.0
IR1,190000.0
Reg,190000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
IR1,190000.0
Reg,189950.0
IR1,189000.0
Reg,189000.0
IR1,189000.0
Reg,189000.0
Reg,189000.0
Reg,189000.0
IR1,188700.0
IR1,188500.0
Reg,188000.0
IR1,188000.0
Reg,188000.0
Reg,187750.0
Reg,187500.0
IR1,187500.0
IR1,187500.0
IR1,187500.0
IR1,187500.0
IR2,187500.0
IR2,187100.0
IR1,187000.0
Reg,187000.0
Reg,187000.0
Reg,186700.0
Reg,186500.0
IR1,186500.0
Reg,186000.0
Reg,185900.0
IR1,185850.0
IR1,185750.0
Reg,185500.0
IR1,185000.0
IR2,185000.0
IR1,185000.0
Reg,185000.0
Reg,185000.0
IR2,185000.0
Reg,185000.0
IR1,185000.0
Reg,185000.0
Reg,185000.0
Reg,184900.0
IR1,184750.0
Reg,184100.0
IR1,184000.0
IR1,184000.0
Reg,184000.0
IR1,184000.0
Reg,183900.0
IR1,183500.0
IR1,183200.0
IR1,183000.0
IR1,182900.0
Reg,182000.0
IR1,181900.0
Reg,181500.0
IR1,181134.0
IR1,181000.0
IR1,181000.0
Reg,181000.0
Reg,181000.0
Reg,181000.0
IR3,181000.0
Reg,181000.0
IR1,180500.0
Reg,180500.0
Reg,180500.0
IR1,180500.0
Reg,180000.0
IR1,180000.0
IR1,180000.0
IR1,180000.0
Reg,180000.0
IR1,180000.0
Reg,180000.0
Reg,180000.0
Reg,180000.0
IR1,180000.0
Reg,179900.0
Reg,179900.0
IR1,179900.0
Reg,179900.0
Reg,179900.0
IR1,179665.0
Reg,179600.0
IR1,179540.0
Reg,179500.0
Reg,179400.0
Reg,179200.0
Reg,179200.0
IR1,179000.0
Reg,179000.0
Reg,179000.0
Reg,178900.0
Reg,178740.0
IR1,178400.0
Reg,178000.0
Reg,178000.0
IR1,178000.0
IR1,178000.0
IR1,178000.0
Reg,178000.0
Reg,178000.0
IR2,177500.0
IR1,177500.0
Reg,177500.0
IR2,177000.0
Reg,177000.0
Reg,177000.0
IR1,177000.0
Reg,177000.0
IR1,176500.0
IR1,176500.0
IR1,176485.0
IR1,176432.0
Reg,176000.0
Reg,176000.0
Reg,176000.0
IR1,176000.0
Reg,176000.0
Reg,176000.0
Reg,176000.0
IR1,176000.0
Reg,175900.0
Reg,175900.0
IR1,175500.0
Reg,175500.0
Reg,175500.0
Reg,175000.0
IR1,175000.0
IR1,175000.0
Reg,175000.0
IR2,175000.0
IR1,175000.0
Reg,175000.0
IR1,175000.0
Reg,175000.0
Reg,174900.0
Reg,174500.0
IR2,174000.0
Reg,174000.0
Reg,174000.0
IR2,174000.0
Reg,174000.0
Reg,174000.0
Reg,174000.0
Reg,173900.0
Reg,173733.0
Reg,173500.0
IR1,173000.0
IR1,173000.0
IR1,173000.0
Reg,173000.0
Reg,173000.0
Reg,173000.0
IR1,173000.0
IR1,172785.0
Reg,172500.0
Reg,172500.0
Reg,172500.0
Reg,172500.0
Reg,172500.0
IR1,172400.0
IR1,172000.0
IR1,171900.0
IR1,171750.0
Reg,171500.0
Reg,171000.0
Reg,171000.0
IR1,171000.0
Reg,171000.0
IR1,171000.0
Reg,170000.0
Reg,170000.0
IR1,170000.0
Reg,170000.0
Reg,170000.0
Reg,170000.0
Reg,170000.0
IR1,170000.0
Reg,169990.0
IR1,169900.0
Reg,169500.0
Reg,169500.0
IR2,169000.0
IR1,169000.0
Reg,169000.0
IR1,168500.0
Reg,168500.0
Reg,168500.0
IR1,168000.0
Reg,168000.0
Reg,168000.0
Reg,168000.0
Reg,167900.0
Reg,167900.0
IR1,167500.0
Reg,167500.0
Reg,167500.0
Reg,167240.0
Reg,167000.0
Reg,167000.0
Reg,167000.0
Reg,167000.0
Reg,166000.0
IR1,166000.0
IR1,165600.0
IR1,165500.0
IR1,165500.0
Reg,165500.0
Reg,165400.0
Reg,165150.0
IR1,165000.0
IR1,165000.0
Reg,165000.0
Reg,165000.0
Reg,165000.0
Reg,165000.0
Reg,165000.0
Reg,165000.0
IR1,164990.0
Reg,164900.0
IR1,164700.0
Reg,164500.0
IR1,164500.0
Reg,164000.0
Reg,164000.0
IR1,164000.0
Reg,163990.0
IR1,163900.0
IR1,163500.0
IR3,163500.0
IR1,163000.0
Reg,163000.0
Reg,163000.0
Reg,163000.0
Reg,162900.0
Reg,162900.0
IR1,162500.0
IR1,162000.0
Reg,162000.0
Reg,162000.0
IR1,162000.0
IR1,161750.0
Reg,161500.0
Reg,161500.0
Reg,161000.0
Reg,161000.0
Reg,160200.0
Reg,160000.0
Reg,160000.0
IR1,160000.0
IR1,160000.0
IR1,160000.0
IR1,160000.0
Reg,160000.0
Reg,160000.0
Reg,160000.0
IR3,160000.0
IR1,160000.0
Reg,160000.0
Reg,159950.0
Reg,159895.0
Reg,159500.0
IR1,159500.0
Reg,159500.0
IR2,159434.0
Reg,159000.0
IR1,159000.0
IR1,159000.0
Reg,159000.0
IR1,158900.0
Reg,158500.0
Reg,158000.0
Reg,158000.0
IR1,158000.0
IR1,158000.0
IR1,158000.0
Reg,158000.0
Reg,157900.0
IR1,157900.0
IR1,157500.0
Reg,157500.0
IR1,157000.0
Reg,157000.0
Reg,157000.0
Reg,157000.0
IR1,157000.0
Reg,157000.0
IR1,156932.0
Reg,156500.0
IR2,156000.0
IR1,156000.0
Reg,156000.0
Reg,156000.0
Reg,155900.0
IR1,155835.0
Reg,155000.0
Reg,155000.0
IR1,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
IR1,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
Reg,155000.0
IR1,154900.0
Reg,154500.0
Reg,154300.0
IR1,154000.0
Reg,154000.0
IR1,154000.0
Reg,154000.0
Reg,154000.0
Reg,153900.0
IR1,153900.0
Reg,153575.0
Reg,153500.0
Reg,153500.0
Reg,153500.0
Reg,153337.0
Reg,153000.0
Reg,153000.0
IR1,153000.0
Reg,152000.0
Reg,152000.0
IR2,152000.0
Reg,152000.0
Reg,152000.0
Reg,152000.0
IR1,151500.0
Reg,151400.0
IR1,151000.0
Reg,151000.0
Reg,151000.0
Reg,151000.0
Reg,151000.0
IR1,150900.0
Reg,150750.0
IR1,150500.0
Reg,150000.0
IR1,150000.0
IR1,150000.0
IR1,150000.0
Reg,149900.0
Reg,149900.0
Reg,149900.0
IR1,149900.0
Reg,149700.0
Reg,149500.0
Reg,149500.0
IR1,149350.0
Reg,149300.0
IR1,149000.0
Reg,149000.0
Reg,149000.0
Reg,149000.0
IR2,148800.0
Reg,148500.0
Reg,148500.0
IR1,148500.0
Reg,148000.0
IR1,148000.0
IR1,148000.0
Reg,148000.0
IR1,148000.0
IR1,148000.0
Reg,148000.0
Reg,147500.0
Reg,147400.0
Reg,147000.0
Reg,147000.0
Reg,147000.0
Reg,147000.0
IR1,147000.0
Reg,147000.0
Reg,147000.0
Reg,147000.0
Reg,147000.0
IR1,146800.0
Reg,146500.0
Reg,146000.0
Reg,146000.0
Reg,146000.0
Reg,145900.0
IR1,145500.0
Reg,145250.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
Reg,145000.0
IR1,145000.0
IR2,145000.0
Reg,145000.0
IR1,145000.0
Reg,145000.0
Reg,145000.0
Reg,144900.0
Reg,144500.0
Reg,144500.0
Reg,144152.0
IR2,144000.0
IR1,144000.0
Reg,144000.0
Reg,144000.0
Reg,144000.0
IR1,144000.0
IR1,144000.0
Reg,144000.0
Reg,144000.0
Reg,144000.0
IR1,143900.0
IR1,143750.0
Reg,143500.0
IR1,143500.0
IR1,143250.0
IR1,143000.0
IR1,143000.0
IR1,143000.0
Reg,143000.0
Reg,143000.0
Reg,143000.0
Reg,143000.0
Reg,143000.0
Reg,143000.0
Reg,143000.0
Reg,142953.0
IR1,142600.0
IR1,142500.0
IR1,142500.0
Reg,142500.0
Reg,142125.0
Reg,142000.0
IR1,142000.0
IR1,142000.0
IR1,142000.0
Reg,141500.0
Reg,141000.0
Reg,141000.0
IR1,141000.0
Reg,141000.0
IR1,141000.0
Reg,141000.0
Reg,141000.0
Reg,141000.0
Reg,140200.0
IR1,140000.0
IR1,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
IR1,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,140000.0
Reg,139950.0
IR1,139900.0
IR1,139600.0
Reg,139500.0
Reg,139400.0
Reg,139400.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,139000.0
Reg,138887.0
IR1,138800.0
Reg,138500.0
Reg,138500.0
Reg,138000.0
Reg,138000.0
Reg,138000.0
Reg,137900.0
Reg,137500.0
Reg,137500.0
Reg,137500.0
IR1,137500.0
Reg,137500.0
Reg,137500.0
Reg,137450.0
Reg,137000.0
IR1,137000.0
IR1,137000.0
IR1,137000.0
Reg,137000.0
IR1,136905.0
Reg,136900.0
Reg,136500.0
IR1,136500.0
IR1,136500.0
Reg,136500.0
Reg,136500.0
Reg,136000.0
Reg,136000.0
Reg,136000.0
IR1,135960.0
Reg,135900.0
IR1,135750.0
Reg,135500.0
IR1,135500.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
IR1,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
IR1,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
Reg,135000.0
IR1,135000.0
IR1,134900.0
Reg,134900.0
Reg,134800.0
Reg,134500.0
IR1,134500.0
IR1,134450.0
Reg,134432.0
Reg,134000.0
Reg,134000.0
Reg,134000.0
Reg,133900.0
Reg,133900.0
Reg,133700.0
IR1,133500.0
Reg,133000.0
Reg,133000.0
Reg,133000.0
Reg,133000.0
Reg,133000.0
Reg,133000.0
Reg,132500.0
IR1,132500.0
Reg,132500.0
Reg,132500.0
Reg,132500.0
IR1,132500.0
Reg,132250.0
Reg,132000.0
Reg,132000.0
Reg,132000.0
Reg,132000.0
Reg,132000.0
Reg,132000.0
Reg,131500.0
Reg,131500.0
Reg,131500.0
Reg,131400.0
Reg,131000.0
IR1,131000.0
Reg,131000.0
IR1,130500.0
Reg,130500.0
Reg,130500.0
IR1,130250.0
Reg,130000.0
Reg,130000.0
Reg,130000.0
Reg,130000.0
IR1,130000.0
Reg,130000.0
Reg,130000.0
IR1,130000.0
Reg,130000.0
Reg,130000.0
Reg,130000.0
Reg,129900.0
Reg,129900.0
Reg,129900.0
IR1,129900.0
Reg,129500.0
Reg,129500.0
Reg,129500.0
Reg,129500.0
Reg,129000.0
IR1,129000.0
Reg,129000.0
Reg,129000.0
Reg,129000.0
Reg,129000.0
Reg,129000.0
Reg,129000.0
IR1,128950.0
Reg,128900.0
IR1,128500.0
IR1,128500.0
IR1,128500.0
IR1,128500.0
Reg,128200.0
IR1,128000.0
IR1,128000.0
Reg,128000.0
Reg,128000.0
Reg,128000.0
Reg,128000.0
Reg,128000.0
Reg,127500.0
Reg,127500.0
Reg,127500.0
IR1,127500.0
Reg,127500.0
Reg,127500.0
Reg,127000.0
Reg,127000.0
IR1,127000.0
IR1,127000.0
Reg,127000.0
IR1,127000.0
Reg,127000.0
Reg,127000.0
Reg,127000.0
IR1,126500.0
Reg,126175.0
Reg,126000.0
Reg,126000.0
Reg,126000.0
IR1,125500.0
Reg,125500.0
Reg,125500.0
Reg,125500.0
Reg,125000.0
Reg,125000.0
Reg,125000.0
Reg,125000.0
Reg,125000.0
IR1,125000.0
Reg,125000.0
Reg,125000.0
IR1,125000.0
Reg,125000.0
Reg,124900.0
Reg,124900.0
Reg,124500.0
Reg,124500.0
Reg,124500.0
Reg,124500.0
Reg,124000.0
Reg,124000.0
Reg,124000.0
IR1,124000.0
Reg,124000.0
Reg,124000.0
Reg,123600.0
IR1,123500.0
Reg,123000.0
Reg,123000.0
Reg,123000.0
Reg,123000.0
Reg,122900.0
Reg,122500.0
Reg,122500.0
Reg,122000.0
IR1,122000.0
IR1,122000.0
Reg,122000.0
IR1,121600.0
IR1,121500.0
Reg,121000.0
Reg,120500.0
Reg,120500.0
Reg,120500.0
Reg,120500.0
Reg,120000.0
Reg,120000.0
Reg,120000.0
IR1,120000.0
Reg,120000.0
Reg,120000.0
Reg,120000.0
Reg,119900.0
Reg,119900.0
Reg,119750.0
Reg,119500.0
IR1,119500.0
IR1,119500.0
Reg,119500.0
Reg,119200.0
IR1,119000.0
Reg,119000.0
Reg,119000.0
Reg,119000.0
Reg,119000.0
Reg,119000.0
Reg,119000.0
Reg,118964.0
Reg,118858.0
Reg,118500.0
Reg,118500.0
Reg,118500.0
Reg,118500.0
Reg,118400.0
Reg,118000.0
Reg,118000.0
Reg,118000.0
Reg,118000.0
Reg,118000.0
Reg,118000.0
Reg,117500.0
Reg,117500.0
Reg,117000.0
Reg,117000.0
Reg,117000.0
Reg,117000.0
Reg,116900.0
IR1,116500.0
Reg,116050.0
Reg,116000.0
Reg,116000.0
Reg,116000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
Reg,115000.0
IR1,115000.0
Reg,115000.0
Reg,114504.0
Reg,114500.0
Reg,114500.0
Reg,113000.0
Reg,113000.0
Reg,113000.0
Reg,113000.0
Reg,113000.0
Reg,113000.0
Reg,112500.0
Reg,112500.0
Reg,112000.0
Reg,112000.0
IR1,112000.0
Reg,112000.0
Reg,112000.0
IR1,112000.0
Reg,112000.0
IR1,111250.0
Reg,111000.0
Reg,110500.0
Reg,110500.0
IR2,110000.0
Reg,110000.0
Reg,110000.0
Reg,110000.0
Reg,110000.0
IR1,110000.0
IR1,110000.0
Reg,110000.0
Reg,110000.0
Reg,110000.0
IR1,110000.0
Reg,110000.0
Reg,110000.0
Reg,109900.0
IR1,109900.0
Reg,109900.0
Reg,109500.0
Reg,109500.0
Reg,109500.0
Reg,109500.0
IR1,109008.0
Reg,109000.0
Reg,109000.0
Reg,108959.0
Reg,108500.0
Reg,108480.0
Reg,108000.0
Reg,108000.0
Reg,108000.0
Reg,108000.0
Reg,108000.0
IR1,108000.0
Reg,107900.0
Reg,107500.0
Reg,107500.0
Reg,107500.0
Reg,107400.0
Reg,107000.0
Reg,107000.0
Reg,107000.0
IR1,106500.0
Reg,106500.0
Reg,106250.0
Reg,106000.0
Reg,106000.0
Reg,106000.0
Reg,105900.0
Reg,105500.0
Reg,105000.0
Reg,105000.0
Reg,105000.0
Reg,105000.0
Reg,105000.0
Reg,104900.0
IR1,104900.0
Reg,104000.0
Reg,103600.0
Reg,103200.0
Reg,103000.0
Reg,102776.0
Reg,102000.0
Reg,102000.0
Reg,102000.0
Reg,101800.0
Reg,101000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,100000.0
Reg,99900.0
Reg,99500.0
Reg,98600.0
Reg,98300.0
Reg,98000.0
Reg,98000.0
Reg,98000.0
Reg,97500.0
Reg,97000.0
Reg,97000.0
Reg,97000.0
Reg,96500.0
Reg,96500.0
Reg,95000.0
IR1,95000.0
Reg,94750.0
Reg,94500.0
Reg,94000.0
Reg,93500.0
Reg,93500.0
Reg,93000.0
Reg,93000.0
Reg,93000.0
Reg,92900.0
Reg,92000.0
Reg,91500.0
Reg,91500.0
Reg,91300.0
Reg,91000.0
Reg,91000.0
Reg,91000.0
Reg,90350.0
Reg,90000.0
Reg,90000.0
Reg,90000.0
Reg,89500.0
IR1,89500.0
Reg,89471.0
Reg,89000.0
IR1,88000.0
Reg,88000.0
Reg,88000.0
Reg,88000.0
Reg,87500.0
IR1,87000.0
Reg,87000.0
Reg,87000.0
Reg,87000.0
Reg,86000.0
IR1,86000.0
Reg,86000.0
IR1,85500.0
Reg,85400.0
IR1,85000.0
Reg,85000.0
Reg,85000.0
Reg,85000.0
Reg,84900.0
Reg,84500.0
Reg,84500.0
Reg,84500.0
IR1,84000.0
Reg,83500.0
Reg,83000.0
Reg,83000.0
IR1,82500.0
Reg,82500.0
Reg,82500.0
Reg,82000.0
Reg,82000.0
Reg,82000.0
Reg,81000.0
Reg,81000.0
Reg,81000.0
Reg,80500.0
Reg,80000.0
Reg,80000.0
Reg,80000.0
Reg,80000.0
IR1,79900.0
IR1,79900.0
Reg,79500.0
Reg,79000.0
Reg,79000.0
Reg,79000.0
Reg,78000.0
IR1,76500.0
Reg,76000.0
Reg,75500.0
Reg,75000.0
IR3,73000.0
IR1,72500.0
IR1,68500.0
Reg,68400.0
Reg,67000.0
Reg,67000.0
Reg,66500.0
Reg,64500.0
IR1,62383.0
IR1,61000.0
Reg,60000.0
Reg,60000.0
Reg,60000.0
Reg,58500.0
Reg,55993.0
Reg,55000.0
Reg,55000.0
IR1,52500.0
IR1,52000.0
Reg,40000.0
Reg,39300.0
Reg,37900.0
Reg,35311.0
Reg,34900.0
