GarageType,SalePrice
BuiltIn,258000.0
Attchd,257500.0
Attchd,257000.0
Attchd,256300.0
Attchd,256000.0
Detchd,256000.0
Attchd,255900.0
Attchd,255500.0
Attchd,255000.0
Attchd,255000.0
Attchd,254900.0
Attchd,254000.0
Attchd,253293.0
Attchd,253000.0
Attchd,252678.0
Attchd,252000.0
Attchd,251000.0
Attchd,250580.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,250000.0
Attchd,249700.0
Attchd,248900.0
Attchd,248328.0
BuiltIn,248000.0
BuiltIn,248000.0
Attchd,246578.0
Attchd,245500.0
Attchd,245350.0
Attchd,245000.0
Attchd,244600.0
Attchd,244400.0
Attchd,244000.0
BuiltIn,244000.0
Attchd,244000.0
Attchd,243000.0
BuiltIn,242000.0
Attchd,242000.0
Attchd,241500.0
Attchd,241500.0
Attchd,241000.0
Attchd,240000.0
Attchd,240000.0
Detchd,240000.0
Attchd,240000.0
Attchd,240000.0
Attchd,240000.0
Attchd,239900.0
Attchd,239799.0
Attchd,239686.0
Attchd,239500.0
Attchd,239000.0
Detchd,239000.0
Detchd,239000.0
Attchd,239000.0
Detchd,239000.0
Attchd,239000.0
Attchd,238000.0
Attchd,237500.0
Attchd,237000.0
Attchd,237000.0
Attchd,236500.0
Attchd,236500.0
BuiltIn,236000.0
Attchd,236000.0
Attchd,235128.0
Attchd,235000.0
Detchd,235000.0
Attchd,235000.0
Attchd,235000.0
Basment,235000.0
Attchd,235000.0
Attchd,235000.0
Detchd,234000.0
Attchd,234000.0
Attchd,233230.0
Attchd,233170.0
BuiltIn,233000.0
Attchd,232600.0
Attchd,232000.0
Attchd,232000.0
Attchd,232000.0
Attchd,231500.0
Attchd,231500.0
Attchd,230500.0
Attchd,230000.0
Attchd,230000.0
BuiltIn,230000.0
Attchd,230000.0
Attchd,230000.0
Attchd,230000.0
Detchd,230000.0
Attchd,230000.0
Attchd,229456.0
Attchd,229000.0
Attchd,228950.0
Attchd,228500.0
Attchd,228500.0
Attchd,228000.0
Attchd,228000.0
Attchd,227875.0
Attchd,227680.0
Attchd,227000.0
Attchd,227000.0
Attchd,227000.0
Attchd,226700.0
Attchd,226000.0
Attchd,226000.0
Attchd,226000.0
Attchd,225000.0
Attchd,225000.0
Attchd,225000.0
Attchd,225000.0
BuiltIn,225000.0
Attchd,225000.0
Attchd,224900.0
Attchd,224900.0
Attchd,224500.0
Attchd,224000.0
Detchd,224000.0
Attchd,223500.0
Attchd,223500.0
Attchd,223000.0
BuiltIn,222500.0
Attchd,222500.0
Attchd,222000.0
Attchd,222000.0
BuiltIn,222000.0
Attchd,221500.0
Attchd,221000.0
Attchd,221000.0
Attchd,220000.0
Attchd,220000.0
Attchd,220000.0
Attchd,220000.0
Detchd,220000.0
Attchd,219500.0
BuiltIn,219500.0
Attchd,219500.0
BuiltIn,219210.0
Attchd,218000.0
Attchd,217500.0
Basment,217000.0
Attchd,217000.0
Attchd,216837.0
BuiltIn,216500.0
Attchd,216000.0
Attchd,215200.0
Attchd,215000.0
BuiltIn,215000.0
Attchd,215000.0
Attchd,215000.0
Attchd,215000.0
BuiltIn,215000.0
Attchd,215000.0
Attchd,215000.0
BuiltIn,214900.0
Detchd,214500.0
Attchd,214000.0
Attchd,214000.0
Attchd,214000.0
BuiltIn,214000.0
BuiltIn,214000.0
Attchd,213500.0
Attchd,213500.0
Attchd,213490.0
Attchd,213250.0
Attchd,213000.0
Attchd,213000.0
Attchd,213000.0
Attchd,212900.0
Attchd,212000.0
Attchd,212000.0
Attchd,212000.0
Attchd,211000.0
Attchd,211000.0
Attchd,210000.0
Attchd,210000.0
Attchd,210000.0
Detchd,210000.0
Attchd,210000.0
Attchd,209500.0
Attchd,208900.0
Attchd,208900.0
Attchd,208500.0
Attchd,208300.0
Attchd,207500.0
Attchd,207500.0
Attchd,207500.0
Attchd,207500.0
Attchd,207500.0
Attchd,207000.0
Detchd,207000.0
Attchd,206900.0
Attchd,206300.0
Attchd,206000.0
Attchd,205950.0
Attchd,205000.0
Attchd,205000.0
Detchd,205000.0
Attchd,205000.0
Attchd,205000.0
Attchd,205000.0
Attchd,204900.0
Attchd,204750.0
Attchd,204000.0
Attchd,204000.0
Attchd,203000.0
Attchd,203000.0
Attchd,202900.0
Attchd,202665.0
Attchd,202500.0
Attchd,202500.0
Attchd,202500.0
Attchd,201800.0
Attchd,201000.0
Attchd,201000.0
Attchd,201000.0
Attchd,200624.0
Attchd,200500.0
Detchd,200500.0
Attchd,200141.0
Detchd,200100.0
Attchd,200000.0
Detchd,200000.0
BuiltIn,200000.0
Detchd,200000.0
Attchd,200000.0
Attchd,200000.0
BuiltIn,200000.0
Detchd,200000.0
Attchd,199900.0
Attchd,199900.0
Attchd,198900.0
BuiltIn,198500.0
Attchd,197900.0
Attchd,197900.0
Attchd,197900.0
Attchd,197500.0
Attchd,197500.0
Attchd,197000.0
Basment,197000.0
Attchd,197000.0
Attchd,197000.0
Attchd,196500.0
Attchd,196500.0
Attchd,196000.0
Attchd,196000.0
Attchd,196000.0
Attchd,195400.0
Attchd,195000.0
Attchd,195000.0
BuiltIn,195000.0
Attchd,194700.0
Attchd,194500.0
Attchd,194500.0
Attchd,194500.0
Attchd,194201.0
Attchd,194000.0
Attchd,194000.0
Attchd,194000.0
Attchd,193879.0
Attchd,193500.0
Attchd,193500.0
Attchd,193000.0
Attchd,193000.0
Attchd,193000.0
Attchd,192500.0
Attchd,192500.0
BuiltIn,192140.0
Attchd,192000.0
Attchd,192000.0
Attchd,192000.0
Attchd,192000.0
Attchd,192000.0
Attchd,191000.0
Attchd,191000.0
Attchd,191000.0
Detchd,191000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
BuiltIn,190000.0
Attchd,190000.0
Attchd,190000.0
Attchd,190000.0
Detchd,189950.0
Attchd,189000.0
Attchd,189000.0
Attchd,189000.0
Attchd,189000.0
Attchd,189000.0
BuiltIn,189000.0
Detchd,188700.0
Attchd,188500.0
Detchd,188000.0
Attchd,188000.0
Attchd,188000.0
Attchd,187750.0
Attchd,187500.0
Attchd,187500.0
Attchd,187500.0
Attchd,187500.0
Attchd,187500.0
Attchd,187500.0
Attchd,187100.0
Attchd,187000.0
Attchd,187000.0
Attchd,187000.0
2Types,186700.0
Attchd,186500.0
Attchd,186500.0
Attchd,186000.0
Attchd,185900.0
Attchd,185850.0
Attchd,185750.0
Attchd,185500.0
Attchd,185000.0
BuiltIn,185000.0
Attchd,185000.0
Attchd,185000.0
Detchd,185000.0
Attchd,185000.0
Attchd,185000.0
Attchd,185000.0
Attchd,185000.0
Attchd,185000.0
Attchd,184900.0
BuiltIn,184750.0
BuiltIn,184100.0
Attchd,184000.0
Attchd,184000.0
Detchd,184000.0
Attchd,184000.0
Detchd,183900.0
Attchd,183500.0
Attchd,183200.0
Attchd,183000.0
Attchd,182900.0
Attchd,182000.0
Attchd,181900.0
Attchd,181500.0
Attchd,181134.0
Attchd,181000.0
Attchd,181000.0
Attchd,181000.0
Attchd,181000.0
Attchd,181000.0
BuiltIn,181000.0
Attchd,181000.0
Attchd,180500.0
Attchd,180500.0
Detchd,180500.0
Attchd,180500.0
Attchd,180000.0
BuiltIn,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,180000.0
Attchd,179900.0
Attchd,179900.0
Attchd,179900.0
Attchd,179900.0
Attchd,179900.0
Attchd,179665.0
Attchd,179600.0
Attchd,179540.0
Detchd,179500.0
Detchd,179400.0
Attchd,179200.0
Attchd,179200.0
Attchd,179000.0
Attchd,179000.0
Attchd,179000.0
Attchd,178900.0
Attchd,178740.0
Attchd,178400.0
Attchd,178000.0
Detchd,178000.0
Attchd,178000.0
BuiltIn,178000.0
Attchd,178000.0
Attchd,178000.0
BuiltIn,178000.0
Attchd,177500.0
Attchd,177500.0
Detchd,177500.0
Attchd,177000.0
Detchd,177000.0
Attchd,177000.0
Basment,177000.0
Detchd,177000.0
Attchd,176500.0
Attchd,176500.0
Attchd,176485.0
Attchd,176432.0
Detchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,176000.0
Attchd,175900.0
Attchd,175900.0
Attchd,175500.0
Attchd,175500.0
BuiltIn,175500.0
Attchd,175000.0
Attchd,175000.0
Attchd,175000.0
Attchd,175000.0
Attchd,175000.0
Attchd,175000.0
Detchd,175000.0
Attchd,175000.0
Attchd,175000.0
Attchd,174900.0
Attchd,174500.0
BuiltIn,174000.0
Attchd,174000.0
Attchd,174000.0
Attchd,174000.0
Attchd,174000.0
Detchd,174000.0
Attchd,174000.0
Attchd,173900.0
Detchd,173733.0
Attchd,173500.0
Attchd,173000.0
Attchd,173000.0
Attchd,173000.0
Attchd,173000.0
BuiltIn,173000.0
Attchd,173000.0
Attchd,173000.0
Attchd,172785.0
Attchd,172500.0
Attchd,172500.0
Attchd,172500.0
Detchd,172500.0
Attchd,172500.0
Attchd,172400.0
Attchd,172000.0
Detchd,171900.0
Attchd,171750.0
Detchd,171500.0
2Types,171000.0
Attchd,171000.0
Basment,171000.0
Attchd,171000.0
Attchd,171000.0
Attchd,170000.0
Attchd,170000.0
BuiltIn,170000.0
Attchd,170000.0
Attchd,170000.0
Attchd,170000.0
Attchd,170000.0
Attchd,170000.0
Attchd,169990.0
Attchd,169900.0
Detchd,169500.0
Attchd,169500.0
Attchd,169000.0
Attchd,169000.0
Detchd,169000.0
BuiltIn,168500.0
Detchd,168500.0
Attchd,168500.0
BuiltIn,168000.0
Detchd,168000.0
Attchd,168000.0
2Types,168000.0
Attchd,167900.0
Attchd,167900.0
Detchd,167500.0
Attchd,167500.0
BuiltIn,167500.0
Attchd,167240.0
Attchd,167000.0
Attchd,167000.0
Detchd,167000.0
Attchd,167000.0
Detchd,166000.0
Attchd,166000.0
Attchd,165600.0
Attchd,165500.0
Attchd,165500.0
BuiltIn,165500.0
BuiltIn,165400.0
Attchd,165150.0
Basment,165000.0
Attchd,165000.0
Attchd,165000.0
Attchd,165000.0
Detchd,165000.0
Detchd,165000.0
Attchd,165000.0
Attchd,165000.0
Attchd,164990.0
CarPort,164900.0
Detchd,164700.0
Detchd,164500.0
Attchd,164500.0
Attchd,164000.0
Detchd,164000.0
Basment,164000.0
Attchd,163990.0
Attchd,163900.0
Detchd,163500.0
Attchd,163500.0
Attchd,163000.0
Detchd,163000.0
Attchd,163000.0
Detchd,163000.0
Detchd,162900.0
Attchd,162900.0
Attchd,162500.0
Detchd,162000.0
Attchd,162000.0
Attchd,162000.0
Attchd,162000.0
Attchd,161750.0
Attchd,161500.0
Attchd,161500.0
Detchd,161000.0
Detchd,161000.0
Attchd,160200.0
Attchd,160000.0
Attchd,160000.0
Attchd,160000.0
Attchd,160000.0
Detchd,160000.0
Attchd,160000.0
Detchd,160000.0
Attchd,160000.0
Detchd,160000.0
Attchd,160000.0
Detchd,160000.0
Attchd,160000.0
Attchd,159950.0
Attchd,159895.0
Detchd,159500.0
Attchd,159500.0
BuiltIn,159500.0
Detchd,159434.0
Detchd,159000.0
Attchd,159000.0
Attchd,159000.0
Detchd,159000.0
Attchd,158900.0
Attchd,158500.0
Detchd,158000.0
Attchd,158000.0
Attchd,158000.0
Attchd,158000.0
Attchd,158000.0
Attchd,158000.0
Attchd,157900.0
Attchd,157900.0
Attchd,157500.0
Detchd,157500.0
Attchd,157000.0
Attchd,157000.0
Attchd,157000.0
Attchd,157000.0
Attchd,157000.0
Detchd,157000.0
BuiltIn,156932.0
Attchd,156500.0
Attchd,156000.0
Attchd,156000.0
Attchd,156000.0
Detchd,156000.0
Attchd,155900.0
Attchd,155835.0
Attchd,155000.0
Attchd,155000.0
Attchd,155000.0
Detchd,155000.0
Attchd,155000.0
Detchd,155000.0
Attchd,155000.0
Attchd,155000.0
Attchd,155000.0
Detchd,155000.0
Detchd,155000.0
Attchd,155000.0
Attchd,155000.0
Detchd,155000.0
Detchd,154900.0
Attchd,154500.0
Detchd,154300.0
Attchd,154000.0
BuiltIn,154000.0
Attchd,154000.0
Attchd,154000.0
Attchd,154000.0
Attchd,153900.0
Detchd,153900.0
Detchd,153575.0
Attchd,153500.0
Detchd,153500.0
Attchd,153500.0
Detchd,153337.0
Attchd,153000.0
Basment,153000.0
Detchd,153000.0
Detchd,152000.0
Attchd,152000.0
Detchd,152000.0
Attchd,152000.0
Attchd,152000.0
Attchd,152000.0
Attchd,151500.0
Attchd,151400.0
Attchd,151000.0
Attchd,151000.0
Detchd,151000.0
Detchd,151000.0
Attchd,151000.0
Attchd,150900.0
Detchd,150750.0
Detchd,150500.0
2Types,150000.0
Attchd,150000.0
Attchd,150000.0
Detchd,150000.0
Attchd,149900.0
Attchd,149900.0
Attchd,149900.0
Attchd,149900.0
Attchd,149700.0
Attchd,149500.0
Attchd,149500.0
Attchd,149350.0
Attchd,149300.0
Attchd,149000.0
Attchd,149000.0
Attchd,149000.0
Detchd,149000.0
Detchd,148800.0
Attchd,148500.0
Attchd,148500.0
Detchd,148500.0
Attchd,148000.0
Attchd,148000.0
Detchd,148000.0
Basment,148000.0
Attchd,148000.0
Detchd,148000.0
Attchd,148000.0
Attchd,147500.0
Detchd,147400.0
Detchd,147000.0
Attchd,147000.0
Attchd,147000.0
Attchd,147000.0
Detchd,147000.0
Attchd,147000.0
Detchd,147000.0
Attchd,147000.0
Attchd,147000.0
Attchd,146800.0
Attchd,146500.0
Detchd,146000.0
Detchd,146000.0
Attchd,146000.0
Detchd,145900.0
Attchd,145500.0
Attchd,145250.0
Attchd,145000.0
Attchd,145000.0
Attchd,145000.0
Detchd,145000.0
Attchd,145000.0
Detchd,145000.0
Attchd,145000.0
2Types,145000.0
Attchd,145000.0
Detchd,145000.0
Attchd,145000.0
Attchd,145000.0
Attchd,145000.0
Basment,145000.0
Attchd,144900.0
Attchd,144500.0
Basment,144500.0
Detchd,144152.0
Detchd,144000.0
Attchd,144000.0
Detchd,144000.0
Detchd,144000.0
Attchd,144000.0
Detchd,144000.0
Detchd,144000.0
Attchd,144000.0
Attchd,144000.0
Detchd,144000.0
Attchd,143900.0
Attchd,143750.0
Attchd,143500.0
Detchd,143500.0
Detchd,143250.0
Attchd,143000.0
Attchd,143000.0
Attchd,143000.0
Attchd,143000.0
Attchd,143000.0
Attchd,143000.0
Attchd,143000.0
Detchd,143000.0
Attchd,143000.0
Attchd,143000.0
Detchd,142953.0
Detchd,142600.0
Detchd,142500.0
Attchd,142500.0
Detchd,142500.0
Attchd,142125.0
Attchd,142000.0
Detchd,142000.0
Attchd,142000.0
Detchd,142000.0
Detchd,141500.0
Attchd,141000.0
Attchd,141000.0
Attchd,141000.0
Detchd,141000.0
Attchd,141000.0
Detchd,141000.0
Attchd,141000.0
Detchd,141000.0
Detchd,140200.0
Detchd,140000.0
Detchd,140000.0
Attchd,140000.0
Attchd,140000.0
Attchd,140000.0
Detchd,140000.0
Attchd,140000.0
Attchd,140000.0
Attchd,140000.0
Attchd,140000.0
Detchd,140000.0
Detchd,140000.0
Attchd,140000.0
Attchd,140000.0
BuiltIn,140000.0
Detchd,140000.0
Detchd,140000.0
Basment,140000.0
Attchd,140000.0
Attchd,140000.0
Attchd,139950.0
Attchd,139900.0
Attchd,139600.0
Detchd,139500.0
Attchd,139400.0
Attchd,139400.0
Attchd,139000.0
Attchd,139000.0
Attchd,139000.0
Attchd,139000.0
Attchd,139000.0
BuiltIn,139000.0
Detchd,139000.0
Detchd,139000.0
Detchd,139000.0
Detchd,139000.0
Detchd,139000.0
Detchd,138887.0
Attchd,138800.0
Detchd,138500.0
Attchd,138500.0
Detchd,138000.0
Detchd,138000.0
Attchd,138000.0
Detchd,137900.0
Attchd,137500.0
Detchd,137500.0
Detchd,137500.0
Basment,137500.0
Detchd,137500.0
Detchd,137500.0
Detchd,137450.0
Detchd,137000.0
Detchd,137000.0
Attchd,137000.0
Attchd,137000.0
Detchd,137000.0
Detchd,136905.0
Attchd,136900.0
Detchd,136500.0
Attchd,136500.0
Attchd,136500.0
Detchd,136500.0
Attchd,136500.0
Attchd,136000.0
Detchd,136000.0
Detchd,136000.0
Detchd,135960.0
Detchd,135900.0
Detchd,135750.0
Attchd,135500.0
Attchd,135500.0
Detchd,135000.0
Detchd,135000.0
Detchd,135000.0
Attchd,135000.0
Detchd,135000.0
Detchd,135000.0
Attchd,135000.0
Attchd,135000.0
Attchd,135000.0
Attchd,135000.0
Detchd,135000.0
Attchd,135000.0
Detchd,135000.0
Attchd,135000.0
Attchd,135000.0
Detchd,135000.0
Detchd,135000.0
Detchd,134900.0
Detchd,134900.0
Detchd,134800.0
Attchd,134500.0
Attchd,134500.0
Attchd,134450.0
Detchd,134432.0
Attchd,134000.0
Attchd,134000.0
Attchd,134000.0
Detchd,133900.0
Detchd,133900.0
Attchd,133700.0
Attchd,133500.0
Attchd,133000.0
Attchd,133000.0
Detchd,133000.0
Attchd,133000.0
Attchd,133000.0
Detchd,133000.0
Detchd,132500.0
Detchd,132500.0
Attchd,132500.0
Attchd,132500.0
Detchd,132500.0
Detchd,132500.0
Attchd,132250.0
Detchd,132000.0
Detchd,132000.0
Attchd,132000.0
Attchd,132000.0
Detchd,132000.0
Detchd,132000.0
Attchd,131500.0
Attchd,131500.0
Attchd,131500.0
Attchd,131400.0
Attchd,131000.0
Attchd,131000.0
Detchd,131000.0
Attchd,130500.0
Detchd,130500.0
Attchd,130500.0
Detchd,130250.0
Detchd,130000.0
Detchd,130000.0
Detchd,130000.0
Detchd,130000.0
BuiltIn,130000.0
Attchd,130000.0
Detchd,130000.0
Attchd,130000.0
Detchd,130000.0
Attchd,130000.0
Detchd,130000.0
Detchd,129900.0
Attchd,129900.0
Detchd,129900.0
Detchd,129900.0
Detchd,129500.0
Detchd,129500.0
Detchd,129500.0
Detchd,129500.0
Attchd,129000.0
CarPort,129000.0
Detchd,129000.0
Attchd,129000.0
Detchd,129000.0
Attchd,129000.0
Attchd,129000.0
Detchd,129000.0
Detchd,128950.0
Attchd,128900.0
Detchd,128500.0
Detchd,128500.0
Attchd,128500.0
Attchd,128500.0
Attchd,128200.0
Attchd,128000.0
Detchd,128000.0
Detchd,128000.0
Detchd,128000.0
Attchd,128000.0
Attchd,128000.0
Detchd,128000.0
Detchd,127500.0
Attchd,127500.0
Detchd,127500.0
Detchd,127500.0
Detchd,127500.0
Attchd,127500.0
Attchd,127000.0
Detchd,127000.0
Attchd,127000.0
Detchd,127000.0
Detchd,127000.0
Detchd,127000.0
Detchd,127000.0
Basment,127000.0
Attchd,127000.0
Detchd,126500.0
Attchd,126175.0
Detchd,126000.0
Attchd,126000.0
Attchd,126000.0
Attchd,125500.0
Detchd,125500.0
Detchd,125500.0
Detchd,125500.0
Detchd,125000.0
Detchd,125000.0
Detchd,125000.0
Attchd,125000.0
Detchd,125000.0
Detchd,125000.0
Detchd,125000.0
Detchd,125000.0
Detchd,125000.0
Attchd,125000.0
Detchd,124900.0
Detchd,124900.0
Attchd,124500.0
Detchd,124500.0
Attchd,124500.0
Detchd,124500.0
Detchd,124000.0
Detchd,124000.0
Attchd,124000.0
Attchd,124000.0
Detchd,124000.0
Detchd,124000.0
Attchd,123600.0
Detchd,123500.0
Attchd,123000.0
Detchd,123000.0
Detchd,123000.0
Attchd,123000.0
Detchd,122900.0
Detchd,122500.0
Detchd,122500.0
Attchd,122000.0
Detchd,122000.0
Detchd,122000.0
Detchd,122000.0
Detchd,121600.0
Detchd,121500.0
Detchd,121000.0
Detchd,120500.0
Detchd,120500.0
Detchd,120500.0
Detchd,120500.0
Attchd,120000.0
Attchd,120000.0
Detchd,120000.0
Attchd,120000.0
Attchd,120000.0
Detchd,120000.0
BuiltIn,120000.0
Detchd,119900.0
Detchd,119900.0
Basment,119750.0
Detchd,119500.0
Detchd,119500.0
Attchd,119500.0
Detchd,119500.0
Detchd,119200.0
Detchd,119000.0
Detchd,119000.0
Detchd,119000.0
Attchd,119000.0
Attchd,119000.0
Detchd,119000.0
Attchd,119000.0
Attchd,118964.0
Attchd,118858.0
Detchd,118500.0
Detchd,118500.0
Attchd,118500.0
Detchd,118500.0
Detchd,118400.0
Attchd,118000.0
Detchd,118000.0
Detchd,118000.0
Attchd,118000.0
Detchd,118000.0
Detchd,118000.0
Detchd,117500.0
Detchd,117500.0
Attchd,117000.0
Detchd,117000.0
Detchd,117000.0
Detchd,117000.0
Detchd,116900.0
Detchd,116500.0
Attchd,116050.0
Detchd,116000.0
Detchd,116000.0
Attchd,116000.0
Detchd,115000.0
Detchd,115000.0
Detchd,115000.0
Detchd,115000.0
Detchd,115000.0
Detchd,115000.0
BuiltIn,115000.0
Attchd,115000.0
Detchd,115000.0
Detchd,115000.0
Attchd,115000.0
Detchd,115000.0
Detchd,114504.0
Detchd,114500.0
Attchd,114500.0
Detchd,113000.0
Detchd,113000.0
Attchd,113000.0
Detchd,113000.0
Detchd,113000.0
Attchd,113000.0
Attchd,112500.0
Detchd,112500.0
Attchd,112000.0
Detchd,112000.0
Basment,112000.0
Attchd,112000.0
Attchd,112000.0
Detchd,112000.0
Detchd,112000.0
Detchd,111250.0
Attchd,111000.0
Detchd,110500.0
Detchd,110500.0
CarPort,110000.0
Detchd,110000.0
Detchd,110000.0
Detchd,110000.0
Detchd,110000.0
Detchd,110000.0
Detchd,110000.0
Attchd,110000.0
Detchd,110000.0
Attchd,110000.0
Detchd,110000.0
Detchd,110000.0
Attchd,110000.0
Detchd,109900.0
Attchd,109900.0
Detchd,109900.0
Detchd,109500.0
Detchd,109500.0
Detchd,109500.0
Detchd,109500.0
Detchd,109008.0
Detchd,109000.0
Detchd,109000.0
CarPort,108959.0
Detchd,108500.0
Detchd,108480.0
Detchd,108000.0
Detchd,108000.0
CarPort,108000.0
Detchd,108000.0
Detchd,108000.0
Attchd,108000.0
Detchd,107900.0
Detchd,107500.0
Detchd,107500.0
Attchd,107500.0
Detchd,107400.0
Detchd,107000.0
Detchd,107000.0
Detchd,107000.0
Attchd,106500.0
Detchd,106500.0
Detchd,106250.0
Detchd,106000.0
Detchd,106000.0
Detchd,106000.0
Detchd,105900.0
Detchd,105500.0
Detchd,105000.0
Attchd,105000.0
Detchd,105000.0
Detchd,105000.0
Detchd,105000.0
Attchd,104900.0
Attchd,104900.0
Detchd,104000.0
Detchd,103600.0
Detchd,103200.0
Detchd,103000.0
Detchd,102776.0
Detchd,102000.0
Detchd,102000.0
Detchd,102000.0
CarPort,101800.0
Detchd,101000.0
Detchd,100000.0
Detchd,100000.0
Detchd,100000.0
Detchd,100000.0
Detchd,100000.0
Detchd,100000.0
Attchd,100000.0
Detchd,100000.0
Detchd,100000.0
Detchd,99900.0
Attchd,99500.0
Attchd,98600.0
Detchd,98300.0
Detchd,98000.0
Detchd,98000.0
Detchd,98000.0
Attchd,97500.0
Detchd,97000.0
Detchd,97000.0
Detchd,97000.0
Detchd,96500.0
Detchd,96500.0
Detchd,95000.0
CarPort,95000.0
Attchd,94750.0
Attchd,94500.0
Detchd,94000.0
Detchd,93500.0
Detchd,93500.0
BuiltIn,93000.0
Detchd,93000.0
Detchd,93000.0
Detchd,92900.0
Detchd,92000.0
Detchd,91500.0
Detchd,91500.0
Attchd,91300.0
BuiltIn,91000.0
Detchd,91000.0
Detchd,91000.0
Detchd,90350.0
CarPort,90000.0
Detchd,90000.0
Detchd,90000.0
Detchd,89500.0
