SaleCondition,SalePrice
Normal,244000.0
Normal,244000.0
Normal,244000.0
Normal,243000.0
Normal,242000.0
Normal,242000.0
Normal,241500.0
Normal,241500.0
Normal,241000.0
Normal,240000.0
Normal,240000.0
Normal,240000.0
Partial,240000.0
Normal,240000.0
Normal,240000.0
Normal,239900.0
Partial,239799.0
Abnorml,239686.0
Normal,239500.0
Normal,239000.0
Normal,239000.0
Normal,239000.0
Normal,239000.0
Normal,239000.0
Partial,239000.0
Normal,238000.0
Normal,237500.0
Normal,237000.0
Normal,237000.0
Normal,236500.0
Normal,236500.0
Normal,236000.0
Normal,236000.0
Partial,235128.0
Normal,235000.0
Abnorml,235000.0
Family,235000.0
Normal,235000.0
Normal,235000.0
Normal,235000.0
Normal,235000.0
Normal,234000.0
Normal,234000.0
Partial,233230.0
Partial,233170.0
Normal,233000.0
Partial,232600.0
Normal,232000.0
Normal,232000.0
Normal,232000.0
Normal,231500.0
Normal,231500.0
Normal,230500.0
Normal,230000.0
Normal,230000.0
Normal,230000.0
Normal,230000.0
Abnorml,230000.0
Normal,230000.0
Normal,230000.0
Normal,230000.0
Partial,229456.0
Normal,229000.0
Normal,228950.0
Normal,228500.0
Normal,228500.0
Normal,228000.0
Normal,228000.0
Partial,227875.0
Partial,227680.0
Normal,227000.0
Normal,227000.0
Normal,227000.0
Normal,226700.0
Normal,226000.0
Normal,226000.0
Normal,226000.0
Normal,225000.0
Normal,225000.0
Normal,225000.0
Partial,225000.0
Family,225000.0
Normal,225000.0
Normal,224900.0
Normal,224900.0
Partial,224500.0
Partial,224000.0
Normal,224000.0
Normal,223500.0
Normal,223500.0
Normal,223000.0
Normal,222500.0
Normal,222500.0
Partial,222000.0
Normal,222000.0
Normal,222000.0
Partial,221500.0
Normal,221000.0
Normal,221000.0
Normal,220000.0
Partial,220000.0
Abnorml,220000.0
Abnorml,220000.0
Normal,220000.0
Normal,219500.0
Normal,219500.0
Normal,219500.0
Partial,219210.0
Normal,218000.0
Normal,217500.0
Abnorml,217000.0
Normal,217000.0
Normal,216837.0
Normal,216500.0
Normal,216000.0
Normal,215200.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,215000.0
Normal,214900.0
Normal,214500.0
Normal,214000.0
Normal,214000.0
Normal,214000.0
Normal,214000.0
Normal,214000.0
Normal,213500.0
Normal,213500.0
Normal,213490.0
Normal,213250.0
Normal,213000.0
Normal,213000.0
Normal,213000.0
Partial,212900.0
Normal,212000.0
Normal,212000.0
Normal,212000.0
Normal,211000.0
Normal,211000.0
Normal,210000.0
Normal,210000.0
Normal,210000.0
Normal,210000.0
Normal,210000.0
Normal,209500.0
Normal,208900.0
Partial,208900.0
Normal,208500.0
Partial,208300.0
Normal,207500.0
Normal,207500.0
Normal,207500.0
Normal,207500.0
Normal,207500.0
Normal,207000.0
Normal,207000.0
Normal,206900.0
Alloca,206300.0
Normal,206000.0
Normal,205950.0
Normal,205000.0
Normal,205000.0
Normal,205000.0
Normal,205000.0
Normal,205000.0
Normal,205000.0
Partial,204900.0
Normal,204750.0
Normal,204000.0
Normal,204000.0
Normal,203000.0
Partial,203000.0
Normal,202900.0
Partial,202665.0
Normal,202500.0
Normal,202500.0
Partial,202500.0
Normal,201800.0
Normal,201000.0
Normal,201000.0
Normal,201000.0
Alloca,200624.0
Normal,200500.0
Normal,200500.0
Partial,200141.0
Normal,200100.0
Normal,200000.0
Normal,200000.0
Normal,200000.0
Abnorml,200000.0
Normal,200000.0
Normal,200000.0
Normal,200000.0
Normal,200000.0
Normal,199900.0
Partial,199900.0
Normal,198900.0
Normal,198500.0
Normal,197900.0
Normal,197900.0
Normal,197900.0
Normal,197500.0
Normal,197500.0
Partial,197000.0
Normal,197000.0
Normal,197000.0
Normal,197000.0
Normal,196500.0
Normal,196500.0
Normal,196000.0
Normal,196000.0
Normal,196000.0
Partial,195400.0
Normal,195000.0
Normal,195000.0
Normal,195000.0
Normal,194700.0
Normal,194500.0
Normal,194500.0
Normal,194500.0
Partial,194201.0
Partial,194000.0
Normal,194000.0
Normal,194000.0
Partial,193879.0
Normal,193500.0
Normal,193500.0
Normal,193000.0
Abnorml,193000.0
Normal,193000.0
Normal,192500.0
Normal,192500.0
Normal,192140.0
Normal,192000.0
Normal,192000.0
Normal,192000.0
Normal,192000.0
Normal,192000.0
Normal,191000.0
Normal,191000.0
Normal,191000.0
Normal,191000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Abnorml,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,190000.0
Normal,189950.0
Normal,189000.0
Normal,189000.0
Normal,189000.0
Normal,189000.0
Normal,189000.0
Normal,189000.0
Normal,188700.0
Normal,188500.0
Family,188000.0
Normal,188000.0
Normal,188000.0
Partial,187750.0
Normal,187500.0
Normal,187500.0
Normal,187500.0
Normal,187500.0
Abnorml,187500.0
Normal,187500.0
Normal,187100.0
Normal,187000.0
Normal,187000.0
Normal,187000.0
Normal,186700.0
Partial,186500.0
Normal,186500.0
Normal,186000.0
Normal,185900.0
Normal,185850.0
Normal,185750.0
Normal,185500.0
Normal,185000.0
Normal,185000.0
Normal,185000.0
Partial,185000.0
Normal,185000.0
Abnorml,185000.0
Normal,185000.0
Normal,185000.0
Normal,185000.0
Normal,185000.0
Normal,184900.0
Partial,184750.0
Normal,184100.0
Normal,184000.0
Normal,184000.0
Normal,184000.0
Normal,184000.0
Normal,183900.0
Normal,183500.0
Normal,183200.0
Normal,183000.0
Normal,182900.0
Partial,182000.0
Normal,181900.0
Normal,181500.0
Partial,181134.0
Normal,181000.0
Normal,181000.0
Normal,181000.0
Normal,181000.0
Abnorml,181000.0
Normal,181000.0
Abnorml,181000.0
Normal,180500.0
Normal,180500.0
Normal,180500.0
Normal,180500.0
Normal,180000.0
Normal,180000.0
Normal,180000.0
Normal,180000.0
Normal,180000.0
Normal,180000.0
Normal,180000.0
Abnorml,180000.0
Normal,180000.0
Normal,180000.0
Normal,179900.0
Normal,179900.0
Normal,179900.0
Normal,179900.0
Normal,179900.0
Partial,179665.0
Normal,179600.0
Partial,179540.0
Normal,179500.0
Normal,179400.0
Normal,179200.0
Normal,179200.0
Normal,179000.0
Alloca,179000.0
Normal,179000.0
Partial,178900.0
Normal,178740.0
Normal,178400.0
Normal,178000.0
Normal,178000.0
Normal,178000.0
Normal,178000.0
Normal,178000.0
Normal,178000.0
Abnorml,178000.0
Normal,177500.0
Normal,177500.0
Normal,177500.0
Normal,177000.0
Normal,177000.0
Normal,177000.0
Normal,177000.0
Normal,177000.0
Normal,176500.0
Normal,176500.0
Partial,176485.0
Normal,176432.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,176000.0
Normal,175900.0
Normal,175900.0
Normal,175500.0
Normal,175500.0
Normal,175500.0
Normal,175000.0
Normal,175000.0
Normal,175000.0
Abnorml,175000.0
Normal,175000.0
Normal,175000.0
Normal,175000.0
Abnorml,175000.0
Normal,175000.0
Normal,174900.0
Normal,174500.0
Normal,174000.0
Normal,174000.0
Normal,174000.0
Normal,174000.0
Normal,174000.0
Normal,174000.0
Abnorml,174000.0
Partial,173900.0
Partial,173733.0
Normal,173500.0
Normal,173000.0
Normal,173000.0
Normal,173000.0
Normal,173000.0
Normal,173000.0
Normal,173000.0
Normal,173000.0
Partial,172785.0
Abnorml,172500.0
Normal,172500.0
Partial,172500.0
Normal,172500.0
Normal,172500.0
Normal,172400.0
Normal,172000.0
Normal,171900.0
Normal,171750.0
Normal,171500.0
Family,171000.0
Normal,171000.0
Normal,171000.0
Normal,171000.0
Normal,171000.0
Normal,170000.0
Normal,170000.0
Normal,170000.0
Abnorml,170000.0
Normal,170000.0
Normal,170000.0
Family,170000.0
Normal,170000.0
Partial,169990.0
Normal,169900.0
Normal,169500.0
Normal,169500.0
Normal,169000.0
Normal,169000.0
Normal,169000.0
Normal,168500.0
Normal,168500.0
Normal,168500.0
Normal,168000.0
Normal,168000.0
Normal,168000.0
Normal,168000.0
Normal,167900.0
Normal,167900.0
Normal,167500.0
Normal,167500.0
Normal,167500.0
Partial,167240.0
Normal,167000.0
Normal,167000.0
Normal,167000.0
Normal,167000.0
Normal,166000.0
Normal,166000.0
Normal,165600.0
Normal,165500.0
Normal,165500.0
Normal,165500.0
Normal,165400.0
Normal,165150.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Normal,165000.0
Partial,164990.0
Normal,164900.0
Partial,164700.0
Partial,164500.0
Abnorml,164500.0
Normal,164000.0
Normal,164000.0
Normal,164000.0
Partial,163990.0
Normal,163900.0
Normal,163500.0
Normal,163500.0
Normal,163000.0
Normal,163000.0
Normal,163000.0
Normal,163000.0
Normal,162900.0
Normal,162900.0
Normal,162500.0
Normal,162000.0
Normal,162000.0
Normal,162000.0
Normal,162000.0
Normal,161750.0
Normal,161500.0
Normal,161500.0
Normal,161000.0
Normal,161000.0
Normal,160200.0
Abnorml,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Normal,160000.0
Partial,160000.0
Normal,160000.0
Normal,160000.0
Normal,159950.0
Normal,159895.0
Normal,159500.0
Normal,159500.0
Normal,159500.0
Abnorml,159434.0
Normal,159000.0
Normal,159000.0
Normal,159000.0
Normal,159000.0
Abnorml,158900.0
Family,158500.0
Partial,158000.0
Normal,158000.0
Abnorml,158000.0
Normal,158000.0
Normal,158000.0
Normal,158000.0
Normal,157900.0
Normal,157900.0
Normal,157500.0
Normal,157500.0
Normal,157000.0
Normal,157000.0
Normal,157000.0
Normal,157000.0
Abnorml,157000.0
Normal,157000.0
Partial,156932.0
Normal,156500.0
Normal,156000.0
Normal,156000.0
Normal,156000.0
Normal,156000.0
Normal,155900.0
Partial,155835.0
Partial,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,155000.0
Normal,154900.0
Normal,154500.0
Normal,154300.0
Normal,154000.0
Normal,154000.0
Normal,154000.0
Normal,154000.0
Normal,154000.0
Normal,153900.0
Normal,153900.0
Normal,153575.0
Normal,153500.0
Normal,153500.0
Normal,153500.0
Alloca,153337.0
Normal,153000.0
Normal,153000.0
Normal,153000.0
Normal,152000.0
Normal,152000.0
Normal,152000.0
Normal,152000.0
Family,152000.0
Normal,152000.0
Normal,151500.0
Normal,151400.0
Normal,151000.0
Normal,151000.0
Normal,151000.0
Normal,151000.0
Normal,151000.0
Normal,150900.0
Normal,150750.0
Normal,150500.0
Abnorml,150000.0
Normal,150000.0
Normal,150000.0
Abnorml,150000.0
Abnorml,149900.0
Normal,149900.0
Normal,149900.0
Normal,149900.0
Normal,149700.0
Normal,149500.0
Normal,149500.0
Normal,149350.0
Normal,149300.0
Normal,149000.0
Normal,149000.0
Normal,149000.0
Family,149000.0
Normal,148800.0
Normal,148500.0
Normal,148500.0
Normal,148500.0
Normal,148000.0
Normal,148000.0
Normal,148000.0
Normal,148000.0
Normal,148000.0
Normal,148000.0
Normal,148000.0
Normal,147500.0
Normal,147400.0
Normal,147000.0
Normal,147000.0
Normal,147000.0
Partial,147000.0
Normal,147000.0
Normal,147000.0
Normal,147000.0
Normal,147000.0
Partial,147000.0
Normal,146800.0
Normal,146500.0
Abnorml,146000.0
Normal,146000.0
Normal,146000.0
Normal,145900.0
Normal,145500.0
Normal,145250.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Family,145000.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Abnorml,145000.0
Normal,145000.0
Normal,145000.0
Normal,145000.0
Normal,144900.0
Normal,144500.0
Normal,144500.0
Abnorml,144152.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,144000.0
Normal,143900.0
Normal,143750.0
Normal,143500.0
Normal,143500.0
Normal,143250.0
Normal,143000.0
Normal,143000.0
Partial,143000.0
Normal,143000.0
Normal,143000.0
Normal,143000.0
Normal,143000.0
Normal,143000.0
Normal,143000.0
Normal,143000.0
Alloca,142953.0
Normal,142600.0
Normal,142500.0
Normal,142500.0
Abnorml,142500.0
Normal,142125.0
Normal,142000.0
Normal,142000.0
Abnorml,142000.0
Normal,142000.0
Normal,141500.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,141000.0
Normal,140200.0
Abnorml,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Abnorml,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Normal,140000.0
Partial,140000.0
Normal,140000.0
Normal,140000.0
Normal,139950.0
Normal,139900.0
Normal,139600.0
Normal,139500.0
Normal,139400.0
Normal,139400.0
Abnorml,139000.0
Normal,139000.0
Normal,139000.0
Normal,139000.0
Normal,139000.0
Normal,139000.0
Normal,139000.0
Normal,139000.0
Abnorml,139000.0
Normal,139000.0
Normal,139000.0
Normal,138887.0
Abnorml,138800.0
Normal,138500.0
Normal,138500.0
Normal,138000.0
Normal,138000.0
Normal,138000.0
Normal,137900.0
Abnorml,137500.0
Normal,137500.0
Normal,137500.0
Abnorml,137500.0
Normal,137500.0
Normal,137500.0
Normal,137450.0
Normal,137000.0
Normal,137000.0
Normal,137000.0
Normal,137000.0
Normal,137000.0
Normal,136905.0
Normal,136900.0
Normal,136500.0
Normal,136500.0
Normal,136500.0
Normal,136500.0
Normal,136500.0
Normal,136000.0
Family,136000.0
Normal,136000.0
Normal,135960.0
Normal,135900.0
Normal,135750.0
Normal,135500.0
Normal,135500.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Family,135000.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Abnorml,135000.0
Normal,135000.0
Normal,135000.0
Normal,135000.0
Family,135000.0
Normal,135000.0
Normal,135000.0
Normal,134900.0
Normal,134900.0
Normal,134800.0
Normal,134500.0
Normal,134500.0
Normal,134450.0
Normal,134432.0
Normal,134000.0
Normal,134000.0
Normal,134000.0
Normal,133900.0
Normal,133900.0
Normal,133700.0
Normal,133500.0
Normal,133000.0
Normal,133000.0
Normal,133000.0
Normal,133000.0
Normal,133000.0
Normal,133000.0
Normal,132500.0
Normal,132500.0
Normal,132500.0
Normal,132500.0
Normal,132500.0
Normal,132500.0
Normal,132250.0
Normal,132000.0
Normal,132000.0
Normal,132000.0
Normal,132000.0
Abnorml,132000.0
Normal,132000.0
Normal,131500.0
Normal,131500.0
Normal,131500.0
Normal,131400.0
Normal,131000.0
Normal,131000.0
Normal,131000.0
Normal,130500.0
Normal,130500.0
Normal,130500.0
Normal,130250.0
Normal,130000.0
Normal,130000.0
Normal,130000.0
Normal,130000.0
Abnorml,130000.0
Normal,130000.0
Normal,130000.0
Normal,130000.0
Abnorml,130000.0
Normal,130000.0
Normal,130000.0
Abnorml,129900.0
Normal,129900.0
Normal,129900.0
Normal,129900.0
Normal,129500.0
Normal,129500.0
Normal,129500.0
Normal,129500.0
Normal,129000.0
Abnorml,129000.0
Normal,129000.0
Normal,129000.0
Normal,129000.0
Normal,129000.0
Normal,129000.0
Normal,129000.0
Normal,128950.0
Normal,128900.0
Normal,128500.0
Normal,128500.0
Normal,128500.0
Normal,128500.0
Normal,128200.0
Normal,128000.0
Normal,128000.0
Normal,128000.0
Normal,128000.0
Normal,128000.0
Normal,128000.0
Normal,128000.0
Normal,127500.0
Normal,127500.0
Normal,127500.0
AdjLand,127500.0
Normal,127500.0
Normal,127500.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,127000.0
Normal,126500.0
Normal,126175.0
AdjLand,126000.0
Normal,126000.0
Normal,126000.0
Normal,125500.0
Normal,125500.0
Normal,125500.0
Normal,125500.0
Abnorml,125000.0
Family,125000.0
Normal,125000.0
Normal,125000.0
Abnorml,125000.0
Normal,125000.0
Normal,125000.0
Normal,125000.0
Normal,125000.0
Normal,125000.0
Normal,124900.0
Normal,124900.0
Normal,124500.0
Normal,124500.0
Normal,124500.0
Normal,124500.0
Normal,124000.0
Abnorml,124000.0
Normal,124000.0
Normal,124000.0
Normal,124000.0
Normal,124000.0
Normal,123600.0
Normal,123500.0
Normal,123000.0
Normal,123000.0
Normal,123000.0
Normal,123000.0
Normal,122900.0
Normal,122500.0
Normal,122500.0
Normal,122000.0
Normal,122000.0
Normal,122000.0
Normal,122000.0
Abnorml,121600.0
Normal,121500.0
Normal,121000.0
Normal,120500.0
Normal,120500.0
Normal,120500.0
Normal,120500.0
Normal,120000.0
Normal,120000.0
Normal,120000.0
Normal,120000.0
Abnorml,120000.0
Normal,120000.0
Normal,120000.0
Normal,119900.0
Abnorml,119900.0
Normal,119750.0
Normal,119500.0
Normal,119500.0
Normal,119500.0
Normal,119500.0
Normal,119200.0
Normal,119000.0
Normal,119000.0
Normal,119000.0
Abnorml,119000.0
Normal,119000.0
Normal,119000.0
Abnorml,119000.0
Alloca,118964.0
Alloca,118858.0
Abnorml,118500.0
Normal,118500.0
Normal,118500.0
Normal,118500.0
Normal,118400.0
Normal,118000.0
Normal,118000.0
Normal,118000.0
Family,118000.0
Normal,118000.0
Normal,118000.0
Normal,117500.0
Normal,117500.0
Normal,117000.0
Normal,117000.0
Normal,117000.0
Normal,117000.0
Normal,116900.0
Normal,116500.0
Abnorml,116050.0
Normal,116000.0
Normal,116000.0
Normal,116000.0
Partial,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Normal,115000.0
Abnorml,115000.0
Normal,115000.0
Normal,114504.0
Normal,114500.0
Normal,114500.0
Partial,113000.0
Normal,113000.0
Normal,113000.0
Normal,113000.0
Normal,113000.0
Normal,113000.0
Normal,112500.0
Normal,112500.0
Normal,112000.0
Abnorml,112000.0
Abnorml,112000.0
Normal,112000.0
Normal,112000.0
Normal,112000.0
Normal,112000.0
Normal,111250.0
Normal,111000.0
Normal,110500.0
Normal,110500.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Normal,110000.0
Abnorml,110000.0
Abnorml,110000.0
Normal,110000.0
Abnorml,110000.0
Normal,110000.0
Normal,109900.0
Abnorml,109900.0
Normal,109900.0
Normal,109500.0
Normal,109500.0
Normal,109500.0
Normal,109500.0
Normal,109008.0
Abnorml,109000.0
Normal,109000.0
Alloca,108959.0
Normal,108500.0
Abnorml,108480.0
Normal,108000.0
Normal,108000.0
Normal,108000.0
Normal,108000.0
Normal,108000.0
Family,108000.0
Normal,107900.0
Normal,107500.0
Normal,107500.0
Normal,107500.0
Normal,107400.0
Family,107000.0
Abnorml,107000.0
Normal,107000.0
Normal,106500.0
Abnorml,106500.0
Normal,106250.0
Normal,106000.0
Normal,106000.0
Normal,106000.0
Normal,105900.0
Normal,105500.0
Normal,105000.0
Normal,105000.0
Normal,105000.0
Normal,105000.0
Family,105000.0
Normal,104900.0
Normal,104900.0
Abnorml,104000.0
Normal,103600.0
Normal,103200.0
Normal,103000.0
Abnorml,102776.0
Normal,102000.0
Normal,102000.0
Normal,102000.0
Normal,101800.0
Normal,101000.0
Normal,100000.0
Normal,100000.0
Normal,100000.0
Abnorml,100000.0
Normal,100000.0
Normal,100000.0
Normal,100000.0
Normal,100000.0
Normal,100000.0
Normal,99900.0
Normal,99500.0
Abnorml,98600.0
Normal,98300.0
Normal,98000.0
Abnorml,98000.0
Normal,98000.0
Abnorml,97500.0
Abnorml,97000.0
Normal,97000.0
Normal,97000.0
Normal,96500.0
Normal,96500.0
Normal,95000.0
Abnorml,95000.0
Normal,94750.0
Normal,94500.0
Normal,94000.0
Normal,93500.0
Abnorml,93500.0
Normal,93000.0
Normal,93000.0
Normal,93000.0
Normal,92900.0
Abnorml,92000.0
Normal,91500.0
Abnorml,91500.0
Normal,91300.0
Normal,91000.0
Normal,91000.0
Normal,91000.0
Normal,90350.0
Normal,90000.0
Normal,90000.0
Normal,90000.0
Normal,89500.0
Normal,89500.0
Alloca,89471.0
Normal,89000.0
Normal,88000.0
Family,88000.0
Abnorml,88000.0
Normal,88000.0
Normal,87500.0
Normal,87000.0
Normal,87000.0
Normal,87000.0
Normal,87000.0
Normal,86000.0
Normal,86000.0
Abnorml,86000.0
Normal,85500.0
Abnorml,85400.0
Abnorml,85000.0
Normal,85000.0
Normal,85000.0
Normal,85000.0
Abnorml,84900.0
Normal,84500.0
Normal,84500.0
Abnorml,84500.0
Normal,84000.0
Normal,83500.0
Abnorml,83000.0
Normal,83000.0
Normal,82500.0
Family,82500.0
Normal,82500.0
AdjLand,82000.0
Normal,82000.0
Normal,82000.0
AdjLand,81000.0
Normal,81000.0
Normal,81000.0
Normal,80500.0
Normal,80000.0
Normal,80000.0
Normal,80000.0
Normal,80000.0
Abnorml,79900.0
Normal,79900.0
Normal,79500.0
Normal,79000.0
Normal,79000.0
Normal,79000.0
Normal,78000.0
Normal,76500.0
Normal,76000.0
Normal,75500.0
Normal,75000.0
Normal,73000.0
Normal,72500.0
Normal,68500.0
Abnorml,68400.0
Abnorml,67000.0
Normal,67000.0
Abnorml,66500.0
Normal,64500.0
Normal,62383.0
Normal,61000.0
Abnorml,60000.0
Normal,60000.0
Normal,60000.0
Normal,58500.0
Alloca,55993.0
Normal,55000.0
Normal,55000.0
Normal,52500.0
Normal,52000.0
Normal,40000.0
Normal,39300.0
Abnorml,37900.0
Abnorml,35311.0
Abnorml,34900.0
