BldgType,SalePrice
1Fam,285000.0
1Fam,285000.0
1Fam,284000.0
1Fam,284000.0
1Fam,283463.0
1Fam,282922.0
1Fam,281213.0
1Fam,281000.0
1Fam,280000.0
1Fam,280000.0
1Fam,280000.0
1Fam,280000.0
1Fam,279500.0
1Fam,278000.0
TwnhsE,278000.0
TwnhsE,277500.0
1Fam,277000.0
1Fam,277000.0
1Fam,276000.0
1Fam,275500.0
1Fam,275000.0
1Fam,275000.0
1Fam,275000.0
1Fam,275000.0
TwnhsE,275000.0
1Fam,274970.0
1Fam,274900.0
1Fam,274725.0
1Fam,274300.0
TwnhsE,274000.0
1Fam,272000.0
1Fam,272000.0
1Fam,271900.0
1Fam,271000.0
1Fam,271000.0
1Fam,270000.0
TwnhsE,270000.0
1Fam,270000.0
1Fam,269790.0
1Fam,269500.0
1Fam,268000.0
1Fam,268000.0
1Fam,267000.0
1Fam,266500.0
1Fam,266000.0
TwnhsE,266000.0
1Fam,265979.0
1Fam,265900.0
1Fam,265000.0
TwnhsE,264561.0
1Fam,264132.0
1Fam,263435.0
1Fam,263000.0
1Fam,262500.0
1Fam,262500.0
1Fam,262280.0
1Fam,262000.0
1Fam,261500.0
1Fam,260400.0
1Fam,260000.0
1Fam,260000.0
1Fam,260000.0
1Fam,260000.0
1Fam,260000.0
1Fam,260000.0
1Fam,259500.0
1Fam,259000.0
1Fam,258000.0
1Fam,257500.0
1Fam,257000.0
1Fam,256300.0
1Fam,256000.0
1Fam,256000.0
1Fam,255900.0
1Fam,255500.0
1Fam,255000.0
1Fam,255000.0
1Fam,254900.0
TwnhsE,254000.0
1Fam,253293.0
1Fam,253000.0
1Fam,252678.0
1Fam,252000.0
TwnhsE,251000.0
1Fam,250580.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,250000.0
1Fam,249700.0
1Fam,248900.0
1Fam,248328.0
1Fam,248000.0
1Fam,248000.0
TwnhsE,246578.0
TwnhsE,245500.0
1Fam,245350.0
1Fam,245000.0
1Fam,244600.0
1Fam,244400.0
1Fam,244000.0
1Fam,244000.0
1Fam,244000.0
1Fam,243000.0
1Fam,242000.0
1Fam,242000.0
1Fam,241500.0
1Fam,241500.0
1Fam,241000.0
1Fam,240000.0
1Fam,240000.0
1Fam,240000.0
1Fam,240000.0
1Fam,240000.0
1Fam,240000.0
1Fam,239900.0
1Fam,239799.0
1Fam,239686.0
1Fam,239500.0
TwnhsE,239000.0
1Fam,239000.0
1Fam,239000.0
1Fam,239000.0
1Fam,239000.0
1Fam,239000.0
1Fam,238000.0
1Fam,237500.0
1Fam,237000.0
1Fam,237000.0
TwnhsE,236500.0
1Fam,236500.0
1Fam,236000.0
1Fam,236000.0
1Fam,235128.0
1Fam,235000.0
1Fam,235000.0
TwnhsE,235000.0
1Fam,235000.0
1Fam,235000.0
1Fam,235000.0
1Fam,235000.0
1Fam,234000.0
TwnhsE,234000.0
1Fam,233230.0
1Fam,233170.0
1Fam,233000.0
1Fam,232600.0
1Fam,232000.0
1Fam,232000.0
1Fam,232000.0
1Fam,231500.0
1Fam,231500.0
1Fam,230500.0
1Fam,230000.0
1Fam,230000.0
1Fam,230000.0
1Fam,230000.0
1Fam,230000.0
Twnhs,230000.0
1Fam,230000.0
1Fam,230000.0
1Fam,229456.0
1Fam,229000.0
2fmCon,228950.0
1Fam,228500.0
1Fam,228500.0
1Fam,228000.0
1Fam,228000.0
1Fam,227875.0
1Fam,227680.0
1Fam,227000.0
1Fam,227000.0
1Fam,227000.0
1Fam,226700.0
1Fam,226000.0
1Fam,226000.0
1Fam,226000.0
1Fam,225000.0
1Fam,225000.0
1Fam,225000.0
1Fam,225000.0
1Fam,225000.0
1Fam,225000.0
1Fam,224900.0
1Fam,224900.0
1Fam,224500.0
TwnhsE,224000.0
1Fam,224000.0
1Fam,223500.0
1Fam,223500.0
1Fam,223000.0
1Fam,222500.0
1Fam,222500.0
1Fam,222000.0
1Fam,222000.0
1Fam,222000.0
1Fam,221500.0
1Fam,221000.0
1Fam,221000.0
1Fam,220000.0
1Fam,220000.0
1Fam,220000.0
1Fam,220000.0
1Fam,220000.0
1Fam,219500.0
1Fam,219500.0
1Fam,219500.0
1Fam,219210.0
1Fam,218000.0
1Fam,217500.0
1Fam,217000.0
1Fam,217000.0
1Fam,216837.0
1Fam,216500.0
1Fam,216000.0
1Fam,215200.0
1Fam,215000.0
1Fam,215000.0
1Fam,215000.0
1Fam,215000.0
TwnhsE,215000.0
1Fam,215000.0
1Fam,215000.0
1Fam,215000.0
1Fam,214900.0
1Fam,214500.0
1Fam,214000.0
1Fam,214000.0
1Fam,214000.0
1Fam,214000.0
1Fam,214000.0
1Fam,213500.0
TwnhsE,213500.0
TwnhsE,213490.0
1Fam,213250.0
1Fam,213000.0
1Fam,213000.0
1Fam,213000.0
1Fam,212900.0
1Fam,212000.0
TwnhsE,212000.0
1Fam,212000.0
1Fam,211000.0
1Fam,211000.0
1Fam,210000.0
1Fam,210000.0
1Fam,210000.0
1Fam,210000.0
1Fam,210000.0
Twnhs,209500.0
1Fam,208900.0
TwnhsE,208900.0
1Fam,208500.0
1Fam,208300.0
1Fam,207500.0
1Fam,207500.0
Twnhs,207500.0
TwnhsE,207500.0
1Fam,207500.0
TwnhsE,207000.0
1Fam,207000.0
1Fam,206900.0
Duplex,206300.0
1Fam,206000.0
1Fam,205950.0
1Fam,205000.0
1Fam,205000.0
1Fam,205000.0
1Fam,205000.0
1Fam,205000.0
1Fam,205000.0
1Fam,204900.0
1Fam,204750.0
1Fam,204000.0
1Fam,204000.0
1Fam,203000.0
1Fam,203000.0
1Fam,202900.0
TwnhsE,202665.0
TwnhsE,202500.0
1Fam,202500.0
TwnhsE,202500.0
1Fam,201800.0
1Fam,201000.0
1Fam,201000.0
1Fam,201000.0
1Fam,200624.0
1Fam,200500.0
1Fam,200500.0
1Fam,200141.0
1Fam,200100.0
1Fam,200000.0
1Fam,200000.0
1Fam,200000.0
2fmCon,200000.0
1Fam,200000.0
1Fam,200000.0
1Fam,200000.0
Duplex,200000.0
1Fam,199900.0
TwnhsE,199900.0
1Fam,198900.0
1Fam,198500.0
1Fam,197900.0
1Fam,197900.0
1Fam,197900.0
1Fam,197500.0
1Fam,197500.0
1Fam,197000.0
1Fam,197000.0
TwnhsE,197000.0
1Fam,197000.0
1Fam,196500.0
1Fam,196500.0
TwnhsE,196000.0
Twnhs,196000.0
1Fam,196000.0
1Fam,195400.0
1Fam,195000.0
1Fam,195000.0
1Fam,195000.0
TwnhsE,194700.0
1Fam,194500.0
1Fam,194500.0
1Fam,194500.0
TwnhsE,194201.0
1Fam,194000.0
1Fam,194000.0
1Fam,194000.0
1Fam,193879.0
1Fam,193500.0
1Fam,193500.0
TwnhsE,193000.0
1Fam,193000.0
1Fam,193000.0
TwnhsE,192500.0
1Fam,192500.0
1Fam,192140.0
1Fam,192000.0
1Fam,192000.0
1Fam,192000.0
TwnhsE,192000.0
1Fam,192000.0
1Fam,191000.0
1Fam,191000.0
TwnhsE,191000.0
1Fam,191000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
Duplex,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,190000.0
1Fam,189950.0
TwnhsE,189000.0
1Fam,189000.0
1Fam,189000.0
1Fam,189000.0
1Fam,189000.0
1Fam,189000.0
1Fam,188700.0
1Fam,188500.0
Duplex,188000.0
1Fam,188000.0
1Fam,188000.0
1Fam,187750.0
1Fam,187500.0
1Fam,187500.0
1Fam,187500.0
1Fam,187500.0
TwnhsE,187500.0
1Fam,187500.0
1Fam,187100.0
1Fam,187000.0
1Fam,187000.0
1Fam,187000.0
1Fam,186700.0
1Fam,186500.0
1Fam,186500.0
1Fam,186000.0
1Fam,185900.0
TwnhsE,185850.0
1Fam,185750.0
1Fam,185500.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,185000.0
1Fam,184900.0
1Fam,184750.0
1Fam,184100.0
1Fam,184000.0
1Fam,184000.0
1Fam,184000.0
1Fam,184000.0
TwnhsE,183900.0
1Fam,183500.0
1Fam,183200.0
1Fam,183000.0
1Fam,182900.0
1Fam,182000.0
1Fam,181900.0
1Fam,181500.0
1Fam,181134.0
1Fam,181000.0
1Fam,181000.0
1Fam,181000.0
TwnhsE,181000.0
1Fam,181000.0
1Fam,181000.0
TwnhsE,181000.0
1Fam,180500.0
1Fam,180500.0
1Fam,180500.0
1Fam,180500.0
1Fam,180000.0
1Fam,180000.0
1Fam,180000.0
1Fam,180000.0
1Fam,180000.0
TwnhsE,180000.0
1Fam,180000.0
1Fam,180000.0
1Fam,180000.0
1Fam,180000.0
1Fam,179900.0
1Fam,179900.0
1Fam,179900.0
1Fam,179900.0
1Fam,179900.0
1Fam,179665.0
1Fam,179600.0
1Fam,179540.0
1Fam,179500.0
Twnhs,179400.0
TwnhsE,179200.0
1Fam,179200.0
1Fam,179000.0
Duplex,179000.0
1Fam,179000.0
1Fam,178900.0
TwnhsE,178740.0
1Fam,178400.0
1Fam,178000.0
1Fam,178000.0
1Fam,178000.0
1Fam,178000.0
1Fam,178000.0
1Fam,178000.0
1Fam,178000.0
1Fam,177500.0
1Fam,177500.0
Twnhs,177500.0
1Fam,177000.0
Twnhs,177000.0
1Fam,177000.0
1Fam,177000.0
1Fam,177000.0
1Fam,176500.0
1Fam,176500.0
1Fam,176485.0
1Fam,176432.0
TwnhsE,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,176000.0
1Fam,175900.0
TwnhsE,175900.0
1Fam,175500.0
1Fam,175500.0
Twnhs,175500.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,175000.0
1Fam,174900.0
1Fam,174500.0
1Fam,174000.0
1Fam,174000.0
1Fam,174000.0
1Fam,174000.0
TwnhsE,174000.0
Twnhs,174000.0
1Fam,174000.0
1Fam,173900.0
TwnhsE,173733.0
1Fam,173500.0
1Fam,173000.0
1Fam,173000.0
1Fam,173000.0
1Fam,173000.0
Twnhs,173000.0
1Fam,173000.0
1Fam,173000.0
1Fam,172785.0
Twnhs,172500.0
1Fam,172500.0
TwnhsE,172500.0
TwnhsE,172500.0
1Fam,172500.0
1Fam,172400.0
1Fam,172000.0
TwnhsE,171900.0
TwnhsE,171750.0
1Fam,171500.0
Duplex,171000.0
1Fam,171000.0
1Fam,171000.0
1Fam,171000.0
1Fam,171000.0
1Fam,170000.0
1Fam,170000.0
1Fam,170000.0
1Fam,170000.0
1Fam,170000.0
TwnhsE,170000.0
1Fam,170000.0
1Fam,170000.0
1Fam,169990.0
1Fam,169900.0
1Fam,169500.0
1Fam,169500.0
1Fam,169000.0
1Fam,169000.0
1Fam,169000.0
1Fam,168500.0
TwnhsE,168500.0
1Fam,168500.0
1Fam,168000.0
1Fam,168000.0
1Fam,168000.0
2fmCon,168000.0
1Fam,167900.0
1Fam,167900.0
1Fam,167500.0
1Fam,167500.0
1Fam,167500.0
TwnhsE,167240.0
1Fam,167000.0
1Fam,167000.0
1Fam,167000.0
1Fam,167000.0
1Fam,166000.0
1Fam,166000.0
1Fam,165600.0
1Fam,165500.0
1Fam,165500.0
1Fam,165500.0
1Fam,165400.0
1Fam,165150.0
1Fam,165000.0
1Fam,165000.0
1Fam,165000.0
1Fam,165000.0
Twnhs,165000.0
1Fam,165000.0
1Fam,165000.0
TwnhsE,165000.0
1Fam,164990.0
1Fam,164900.0
TwnhsE,164700.0
TwnhsE,164500.0
1Fam,164500.0
Twnhs,164000.0
1Fam,164000.0
1Fam,164000.0
1Fam,163990.0
1Fam,163900.0
1Fam,163500.0
1Fam,163500.0
1Fam,163000.0
1Fam,163000.0
1Fam,163000.0
2fmCon,163000.0
1Fam,162900.0
1Fam,162900.0
1Fam,162500.0
1Fam,162000.0
1Fam,162000.0
TwnhsE,162000.0
1Fam,162000.0
1Fam,161750.0
1Fam,161500.0
1Fam,161500.0
1Fam,161000.0
1Fam,161000.0
TwnhsE,160200.0
1Fam,160000.0
2fmCon,160000.0
1Fam,160000.0
1Fam,160000.0
1Fam,160000.0
1Fam,160000.0
2fmCon,160000.0
1Fam,160000.0
Twnhs,160000.0
1Fam,160000.0
1Fam,160000.0
1Fam,160000.0
1Fam,159950.0
1Fam,159895.0
1Fam,159500.0
1Fam,159500.0
1Fam,159500.0
1Fam,159434.0
1Fam,159000.0
1Fam,159000.0
1Fam,159000.0
1Fam,159000.0
1Fam,158900.0
1Fam,158500.0
1Fam,158000.0
1Fam,158000.0
1Fam,158000.0
1Fam,158000.0
1Fam,158000.0
1Fam,158000.0
1Fam,157900.0
1Fam,157900.0
1Fam,157500.0
1Fam,157500.0
1Fam,157000.0
2fmCon,157000.0
1Fam,157000.0
1Fam,157000.0
1Fam,157000.0
1Fam,157000.0
1Fam,156932.0
1Fam,156500.0
1Fam,156000.0
1Fam,156000.0
1Fam,156000.0
1Fam,156000.0
TwnhsE,155900.0
1Fam,155835.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
Twnhs,155000.0
TwnhsE,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,155000.0
1Fam,154900.0
1Fam,154500.0
Duplex,154300.0
1Fam,154000.0
Twnhs,154000.0
1Fam,154000.0
1Fam,154000.0
1Fam,154000.0
TwnhsE,153900.0
1Fam,153900.0
1Fam,153575.0
TwnhsE,153500.0
1Fam,153500.0
1Fam,153500.0
Duplex,153337.0
1Fam,153000.0
1Fam,153000.0
1Fam,153000.0
1Fam,152000.0
1Fam,152000.0
1Fam,152000.0
1Fam,152000.0
1Fam,152000.0
1Fam,152000.0
1Fam,151500.0
TwnhsE,151400.0
1Fam,151000.0
Twnhs,151000.0
TwnhsE,151000.0
TwnhsE,151000.0
1Fam,151000.0
Duplex,150900.0
1Fam,150750.0
1Fam,150500.0
1Fam,150000.0
1Fam,150000.0
1Fam,150000.0
Duplex,150000.0
1Fam,149900.0
1Fam,149900.0
1Fam,149900.0
1Fam,149900.0
1Fam,149700.0
1Fam,149500.0
1Fam,149500.0
1Fam,149350.0
TwnhsE,149300.0
1Fam,149000.0
TwnhsE,149000.0
1Fam,149000.0
1Fam,149000.0
TwnhsE,148800.0
Twnhs,148500.0
Twnhs,148500.0
1Fam,148500.0
1Fam,148000.0
1Fam,148000.0
1Fam,148000.0
TwnhsE,148000.0
1Fam,148000.0
1Fam,148000.0
1Fam,148000.0
1Fam,147500.0
Twnhs,147400.0
1Fam,147000.0
1Fam,147000.0
TwnhsE,147000.0
1Fam,147000.0
1Fam,147000.0
1Fam,147000.0
1Fam,147000.0
1Fam,147000.0
1Fam,147000.0
1Fam,146800.0
1Fam,146500.0
TwnhsE,146000.0
1Fam,146000.0
Twnhs,146000.0
Duplex,145900.0
1Fam,145500.0
1Fam,145250.0
1Fam,145000.0
1Fam,145000.0
1Fam,145000.0
1Fam,145000.0
2fmCon,145000.0
1Fam,145000.0
Duplex,145000.0
Duplex,145000.0
Duplex,145000.0
1Fam,145000.0
1Fam,145000.0
1Fam,145000.0
1Fam,145000.0
TwnhsE,145000.0
1Fam,144900.0
TwnhsE,144500.0
1Fam,144500.0
TwnhsE,144152.0
1Fam,144000.0
1Fam,144000.0
Duplex,144000.0
Duplex,144000.0
1Fam,144000.0
1Fam,144000.0
1Fam,144000.0
1Fam,144000.0
TwnhsE,144000.0
1Fam,144000.0
1Fam,143900.0
TwnhsE,143750.0
1Fam,143500.0
1Fam,143500.0
1Fam,143250.0
1Fam,143000.0
1Fam,143000.0
1Fam,143000.0
TwnhsE,143000.0
TwnhsE,143000.0
Duplex,143000.0
1Fam,143000.0
1Fam,143000.0
1Fam,143000.0
1Fam,143000.0
Duplex,142953.0
Duplex,142600.0
1Fam,142500.0
1Fam,142500.0
1Fam,142500.0
1Fam,142125.0
1Fam,142000.0
1Fam,142000.0
1Fam,142000.0
1Fam,142000.0
1Fam,141500.0
1Fam,141000.0
1Fam,141000.0
1Fam,141000.0
1Fam,141000.0
1Fam,141000.0
1Fam,141000.0
TwnhsE,141000.0
Duplex,141000.0
1Fam,140200.0
1Fam,140000.0
1Fam,140000.0
1Fam,140000.0
1Fam,140000.0
1Fam,140000.0
1Fam,140000.0
TwnhsE,140000.0
TwnhsE,140000.0
1Fam,140000.0
1Fam,140000.0
2fmCon,140000.0
1Fam,140000.0
1Fam,140000.0
2fmCon,140000.0
1Fam,140000.0
Duplex,140000.0
1Fam,140000.0
TwnhsE,140000.0
1Fam,140000.0
1Fam,140000.0
1Fam,139950.0
1Fam,139900.0
1Fam,139600.0
1Fam,139500.0
1Fam,139400.0
1Fam,139400.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
1Fam,139000.0
Duplex,139000.0
1Fam,138887.0
1Fam,138800.0
1Fam,138500.0
1Fam,138500.0
1Fam,138000.0
1Fam,138000.0
1Fam,138000.0
1Fam,137900.0
1Fam,137500.0
1Fam,137500.0
1Fam,137500.0
1Fam,137500.0
Twnhs,137500.0
1Fam,137500.0
1Fam,137450.0
2fmCon,137000.0
1Fam,137000.0
1Fam,137000.0
1Fam,137000.0
Duplex,137000.0
Duplex,136905.0
1Fam,136900.0
Duplex,136500.0
1Fam,136500.0
1Fam,136500.0
1Fam,136500.0
TwnhsE,136500.0
1Fam,136000.0
1Fam,136000.0
Duplex,136000.0
Duplex,135960.0
2fmCon,135900.0
1Fam,135750.0
1Fam,135500.0
1Fam,135500.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
Duplex,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
1Fam,135000.0
Duplex,135000.0
1Fam,134900.0
1Fam,134900.0
1Fam,134800.0
1Fam,134500.0
1Fam,134500.0
1Fam,134450.0
1Fam,134432.0
TwnhsE,134000.0
1Fam,134000.0
1Fam,134000.0
2fmCon,133900.0
1Fam,133900.0
1Fam,133700.0
1Fam,133500.0
1Fam,133000.0
TwnhsE,133000.0
1Fam,133000.0
1Fam,133000.0
1Fam,133000.0
1Fam,133000.0
1Fam,132500.0
1Fam,132500.0
1Fam,132500.0
Duplex,132500.0
1Fam,132500.0
1Fam,132500.0
1Fam,132250.0
1Fam,132000.0
1Fam,132000.0
1Fam,132000.0
1Fam,132000.0
1Fam,132000.0
1Fam,132000.0
1Fam,131500.0
TwnhsE,131500.0
2fmCon,131500.0
1Fam,131400.0
1Fam,131000.0
1Fam,131000.0
1Fam,131000.0
1Fam,130500.0
1Fam,130500.0
1Fam,130500.0
1Fam,130250.0
1Fam,130000.0
Twnhs,130000.0
Twnhs,130000.0
1Fam,130000.0
1Fam,130000.0
1Fam,130000.0
1Fam,130000.0
1Fam,130000.0
1Fam,130000.0
1Fam,130000.0
TwnhsE,130000.0
1Fam,129900.0
TwnhsE,129900.0
1Fam,129900.0
1Fam,129900.0
1Fam,129500.0
1Fam,129500.0
1Fam,129500.0
1Fam,129500.0
1Fam,129000.0
1Fam,129000.0
2fmCon,129000.0
1Fam,129000.0
1Fam,129000.0
1Fam,129000.0
1Fam,129000.0
1Fam,129000.0
1Fam,128950.0
1Fam,128900.0
1Fam,128500.0
1Fam,128500.0
1Fam,128500.0
1Fam,128500.0
1Fam,128200.0
TwnhsE,128000.0
1Fam,128000.0
1Fam,128000.0
1Fam,128000.0
1Fam,128000.0
1Fam,128000.0
1Fam,128000.0
2fmCon,127500.0
1Fam,127500.0
1Fam,127500.0
Duplex,127500.0
1Fam,127500.0
TwnhsE,127500.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
1Fam,127000.0
TwnhsE,127000.0
1Fam,126500.0
1Fam,126175.0
1Fam,126000.0
Duplex,126000.0
1Fam,126000.0
1Fam,125500.0
1Fam,125500.0
1Fam,125500.0
1Fam,125500.0
Duplex,125000.0
1Fam,125000.0
1Fam,125000.0
TwnhsE,125000.0
1Fam,125000.0
1Fam,125000.0
2fmCon,125000.0
1Fam,125000.0
1Fam,125000.0
TwnhsE,125000.0
1Fam,124900.0
1Fam,124900.0
1Fam,124500.0
Duplex,124500.0
1Fam,124500.0
1Fam,124500.0
1Fam,124000.0
1Fam,124000.0
TwnhsE,124000.0
1Fam,124000.0
Duplex,124000.0
1Fam,124000.0
1Fam,123600.0
1Fam,123500.0
1Fam,123000.0
1Fam,123000.0
1Fam,123000.0
1Fam,123000.0
1Fam,122900.0
TwnhsE,122500.0
2fmCon,122500.0
1Fam,122000.0
1Fam,122000.0
2fmCon,122000.0
1Fam,122000.0
1Fam,121600.0
1Fam,121500.0
1Fam,121000.0
1Fam,120500.0
1Fam,120500.0
1Fam,120500.0
1Fam,120500.0
1Fam,120000.0
TwnhsE,120000.0
1Fam,120000.0
1Fam,120000.0
1Fam,120000.0
1Fam,120000.0
1Fam,120000.0
2fmCon,119900.0
1Fam,119900.0
1Fam,119750.0
1Fam,119500.0
1Fam,119500.0
1Fam,119500.0
Twnhs,119500.0
1Fam,119200.0
Duplex,119000.0
1Fam,119000.0
1Fam,119000.0
1Fam,119000.0
1Fam,119000.0
1Fam,119000.0
1Fam,119000.0
Duplex,118964.0
Duplex,118858.0
1Fam,118500.0
Duplex,118500.0
1Fam,118500.0
1Fam,118500.0
1Fam,118400.0
2fmCon,118000.0
Twnhs,118000.0
Duplex,118000.0
1Fam,118000.0
Twnhs,118000.0
1Fam,118000.0
1Fam,117500.0
1Fam,117500.0
1Fam,117000.0
1Fam,117000.0
1Fam,117000.0
1Fam,117000.0
1Fam,116900.0
1Fam,116500.0
1Fam,116050.0
1Fam,116000.0
1Fam,116000.0
1Fam,116000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
TwnhsE,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,115000.0
1Fam,114504.0
1Fam,114500.0
1Fam,114500.0
2fmCon,113000.0
1Fam,113000.0
1Fam,113000.0
Twnhs,113000.0
1Fam,113000.0
1Fam,113000.0
1Fam,112500.0
1Fam,112500.0
1Fam,112000.0
Twnhs,112000.0
1Fam,112000.0
Duplex,112000.0
1Fam,112000.0
1Fam,112000.0
1Fam,112000.0
1Fam,111250.0
1Fam,111000.0
1Fam,110500.0
1Fam,110500.0
Duplex,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
Duplex,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,110000.0
1Fam,109900.0
1Fam,109900.0
1Fam,109900.0
1Fam,109500.0
1Fam,109500.0
1Fam,109500.0
1Fam,109500.0
1Fam,109008.0
1Fam,109000.0
1Fam,109000.0
Duplex,108959.0
1Fam,108500.0
1Fam,108480.0
1Fam,108000.0
1Fam,108000.0
1Fam,108000.0
1Fam,108000.0
1Fam,108000.0
1Fam,108000.0
1Fam,107900.0
1Fam,107500.0
2fmCon,107500.0
1Fam,107500.0
1Fam,107400.0
1Fam,107000.0
1Fam,107000.0
1Fam,107000.0
1Fam,106500.0
1Fam,106500.0
2fmCon,106250.0
Twnhs,106000.0
1Fam,106000.0
TwnhsE,106000.0
1Fam,105900.0
1Fam,105500.0
1Fam,105000.0
1Fam,105000.0
1Fam,105000.0
1Fam,105000.0
1Fam,105000.0
1Fam,104900.0
1Fam,104900.0
1Fam,104000.0
1Fam,103600.0
1Fam,103200.0
1Fam,103000.0
1Fam,102776.0
1Fam,102000.0
1Fam,102000.0
1Fam,102000.0
Duplex,101800.0
1Fam,101000.0
1Fam,100000.0
1Fam,100000.0
1Fam,100000.0
1Fam,100000.0
1Fam,100000.0
Twnhs,100000.0
1Fam,100000.0
Duplex,100000.0
1Fam,100000.0
1Fam,99900.0
TwnhsE,99500.0
1Fam,98600.0
1Fam,98300.0
1Fam,98000.0
1Fam,98000.0
1Fam,98000.0
1Fam,97500.0
1Fam,97000.0
1Fam,97000.0
Twnhs,97000.0
1Fam,96500.0
1Fam,96500.0
1Fam,95000.0
2fmCon,95000.0
1Fam,94750.0
Twnhs,94500.0
1Fam,94000.0
Duplex,93500.0
1Fam,93500.0
2fmCon,93000.0
2fmCon,93000.0
1Fam,93000.0
Duplex,92900.0
