GrLivArea,SalePrice
2620,190000.0
1166,190000.0
1582,190000.0
1923,190000.0
1426,189950.0
1228,189000.0
1456,189000.0
1434,189000.0
1804,189000.0
1845,189000.0
2601,189000.0
1660,188700.0
1432,188500.0
1728,188000.0
1724,188000.0
1658,188000.0
1301,187750.0
1472,187500.0
1146,187500.0
2087,187500.0
1717,187500.0
1360,187500.0
1498,187500.0
1430,187100.0
1710,187000.0
1855,187000.0
1851,187000.0
1572,186700.0
1553,186500.0
1792,186500.0
1212,186000.0
1582,185900.0
1364,185850.0
1489,185750.0
1414,185500.0
1718,185000.0
1470,185000.0
1511,185000.0
1262,185000.0
1674,185000.0
2126,185000.0
1337,185000.0
1442,185000.0
1876,185000.0
1221,185000.0
1200,184900.0
4676,184750.0
1419,184100.0
1651,184000.0
1479,184000.0
1820,184000.0
1490,184000.0
1452,183900.0
1720,183500.0
1509,183200.0
1640,183000.0
1440,182900.0
1428,182000.0
1429,181900.0
1262,181500.0
1340,181134.0
1586,181000.0
1604,181000.0
1309,181000.0
1504,181000.0
1690,181000.0
1675,181000.0
1337,181000.0
1425,180500.0
1442,180500.0
1824,180500.0
1152,180500.0
2207,180000.0
1430,180000.0
988,180000.0
1721,180000.0
1668,180000.0
1337,180000.0
1509,180000.0
1523,180000.0
1298,180000.0
1339,180000.0
1234,179900.0
1552,179900.0
1442,179900.0
1265,179900.0
1416,179900.0
1496,179665.0
1422,179600.0
1456,179540.0
2192,179500.0
1501,179400.0
1575,179200.0
1294,179200.0
1800,179000.0
1200,179000.0
1349,179000.0
1484,178900.0
1414,178740.0
999,178400.0
1732,178000.0
1641,178000.0
1414,178000.0
1593,178000.0
1571,178000.0
1212,178000.0
1868,178000.0
1200,177500.0
1494,177500.0
1573,177500.0
1470,177000.0
1525,177000.0
1680,177000.0
1357,177000.0
1913,177000.0
1414,176500.0
1632,176500.0
1302,176485.0
1314,176432.0
1458,176000.0
1382,176000.0
1266,176000.0
1137,176000.0
1253,176000.0
1978,176000.0
1132,176000.0
1456,176000.0
1603,175900.0
1569,175900.0
1422,175500.0
1242,175500.0
1626,175500.0
1743,175000.0
1412,175000.0
1484,175000.0
1509,175000.0
1446,175000.0
1464,175000.0
1768,175000.0
1126,175000.0
1647,175000.0
1165,174900.0
1564,174500.0
1560,174000.0
1682,174000.0
1481,174000.0
1484,174000.0
1555,174000.0
1441,174000.0
1537,174000.0
1500,173900.0
1224,173733.0
1476,173500.0
1217,173000.0
1640,173000.0
1167,173000.0
1291,173000.0
1626,173000.0
1632,173000.0
1671,173000.0
1456,172785.0
1739,172500.0
1920,172500.0
1258,172500.0
1471,172500.0
1683,172500.0
1664,172400.0
1968,172000.0
1250,171900.0
1405,171750.0
1279,171500.0
1959,171000.0
1564,171000.0
1701,171000.0
1118,171000.0
1716,171000.0
1328,170000.0
1389,170000.0
1430,170000.0
1779,170000.0
1466,170000.0
1088,170000.0
1173,170000.0
1920,170000.0
1316,169990.0
1034,169900.0
1818,169500.0
1812,169500.0
2320,169000.0
1600,169000.0
2447,169000.0
1474,168500.0
1512,168500.0
1350,168500.0
1572,168000.0
1437,168000.0
1742,168000.0
1622,168000.0
1611,167900.0
1334,167900.0
2019,167500.0
1264,167500.0
1394,167500.0
1248,167240.0
1644,167000.0
1277,167000.0
1486,167000.0
1516,167000.0
1385,166000.0
1392,166000.0
1501,165600.0
1700,165500.0
1110,165500.0
1661,165500.0
1656,165400.0
1790,165150.0
1431,165000.0
1208,165000.0
1350,165000.0
1383,165000.0
1382,165000.0
1502,165000.0
1977,165000.0
1224,165000.0
1310,164990.0
1363,164900.0
1250,164700.0
1224,164500.0
1320,164500.0
1216,164000.0
1646,164000.0
1752,164000.0
1456,163990.0
1482,163900.0
964,163500.0
1657,163500.0
1362,163000.0
1768,163000.0
1261,163000.0
1912,163000.0
1573,162900.0
1664,162900.0
1232,162500.0
1287,162000.0
1320,162000.0
1204,162000.0
1395,162000.0
1392,161750.0
1342,161500.0
1788,161500.0
1666,161000.0
1378,161000.0
1145,160200.0
1324,160000.0
2414,160000.0
1116,160000.0
1750,160000.0
1308,160000.0
1472,160000.0
1928,160000.0
1251,160000.0
1252,160000.0
5642,160000.0
1687,160000.0
1126,160000.0
1086,159950.0
1266,159895.0
2554,159500.0
1426,159500.0
1194,159500.0
1520,159434.0
1114,159000.0
1734,159000.0
1394,159000.0
1664,159000.0
1386,158900.0
1152,158500.0
1158,158000.0
1302,158000.0
2119,158000.0
1159,158000.0
1445,158000.0
1352,158000.0
1442,157900.0
1188,157900.0
1478,157500.0
1539,157500.0
1253,157000.0
1336,157000.0
1178,157000.0
1090,157000.0
1601,157000.0
1762,157000.0
1412,156932.0
1478,156500.0
990,156000.0
912,156000.0
1073,156000.0
1026,156000.0
848,155900.0
1456,155835.0
1125,155000.0
1348,155000.0
1215,155000.0
1135,155000.0
1826,155000.0
1269,155000.0
1094,155000.0
1839,155000.0
1052,155000.0
1416,155000.0
1548,155000.0
1803,155000.0
1128,155000.0
1114,155000.0
1343,154900.0
1068,154500.0
2274,154300.0
1060,154000.0
1626,154000.0
1154,154000.0
1556,154000.0
1246,154000.0
1199,153900.0
1416,153900.0
1396,153575.0
1337,153500.0
1559,153500.0
1074,153500.0
1224,153337.0
1297,153000.0
1520,153000.0
1306,153000.0
1616,152000.0
1558,152000.0
1040,152000.0
1620,152000.0
1370,152000.0
1097,152000.0
958,151500.0
2521,151400.0
1212,151000.0
1556,151000.0
1200,151000.0
1200,151000.0
1054,151000.0
1728,150900.0
1327,150750.0
1040,150500.0
1053,150000.0
1620,150000.0
1244,150000.0
1440,150000.0
894,149900.0
985,149900.0
1466,149900.0
1078,149900.0
1236,149700.0
1400,149500.0
1505,149500.0
1228,149350.0
848,149300.0
1004,149000.0
848,149000.0
1502,149000.0
1576,149000.0
1102,148800.0
1456,148500.0
1441,148500.0
1002,148500.0
1194,148000.0
1113,148000.0
914,148000.0
1072,148000.0
1032,148000.0
1155,148000.0
1382,148000.0
1256,147500.0
1223,147400.0
1344,147000.0
1113,147000.0
1322,147000.0
1120,147000.0
1026,147000.0
996,147000.0
912,147000.0
1122,147000.0
1795,147000.0
1062,146800.0
1644,146500.0
1392,146000.0
1200,146000.0
1456,146000.0
2200,145900.0
1053,145500.0
1383,145250.0
1097,145000.0
1092,145000.0
1314,145000.0
1505,145000.0
1056,145000.0
1477,145000.0
1712,145000.0
2002,145000.0
1958,145000.0
990,145000.0
1258,145000.0
960,145000.0
1138,145000.0
1072,145000.0
1086,144900.0
848,144500.0
1526,144500.0
1200,144152.0
912,144000.0
884,144000.0
1056,144000.0
2020,144000.0
1099,144000.0
1167,144000.0
1690,144000.0
1524,144000.0
848,144000.0
1344,144000.0
1696,143900.0
958,143750.0
1285,143500.0
1268,143500.0
981,143250.0
1362,143000.0
1214,143000.0
1473,143000.0
923,143000.0
848,143000.0
1632,143000.0
1144,143000.0
1482,143000.0
1846,143000.0
1328,143000.0
2240,142953.0
1728,142600.0
1003,142500.0
894,142500.0
1141,142500.0
1078,142125.0
1056,142000.0
912,142000.0
1188,142000.0
1252,142000.0
1539,141500.0
1150,141000.0
1080,141000.0
1100,141000.0
864,141000.0
1092,141000.0
1375,141000.0
848,141000.0
1800,141000.0
1577,140200.0
1717,140000.0
1710,140000.0
1121,140000.0
1375,140000.0
1595,140000.0
1214,140000.0
1069,140000.0
848,140000.0
1136,140000.0
1164,140000.0
1812,140000.0
1482,140000.0
1796,140000.0
1095,140000.0
1601,140000.0
936,140000.0
1283,140000.0
1072,140000.0
1668,140000.0
1558,140000.0
1144,139950.0
1422,139900.0
1733,139600.0
1489,139500.0
1108,139400.0
1056,139400.0
1339,139000.0
1092,139000.0
1632,139000.0
1056,139000.0
1196,139000.0
1109,139000.0
1652,139000.0
1121,139000.0
952,139000.0
1250,139000.0
1824,139000.0
1784,138887.0
1096,138800.0
894,138500.0
1052,138500.0
816,138000.0
990,138000.0
1904,138000.0
2136,137900.0
1054,137500.0
1181,137500.0
1180,137500.0
1344,137500.0
1709,137500.0
1513,137500.0
1608,137450.0
1928,137000.0
860,137000.0
1008,137000.0
935,137000.0
1920,137000.0
1680,136905.0
1855,136900.0
1768,136500.0
864,136500.0
1050,136500.0
1694,136500.0
848,136500.0
1080,136000.0
2526,136000.0
1792,136000.0
943,135960.0
1716,135900.0
952,135750.0
980,135500.0
1393,135500.0
1656,135000.0
1389,135000.0
980,135000.0
2080,135000.0
1469,135000.0
1470,135000.0
1004,135000.0
1236,135000.0
1229,135000.0
1098,135000.0
1192,135000.0
1271,135000.0
893,135000.0
1048,135000.0
1134,135000.0
1981,135000.0
1656,135000.0
858,134900.0
1176,134900.0
900,134800.0
1008,134500.0
999,134500.0
1236,134450.0
1588,134432.0
1142,134000.0
1080,134000.0
1211,134000.0
2291,133900.0
768,133900.0
1040,133700.0
864,133500.0
1578,133000.0
767,133000.0
1573,133000.0
1268,133000.0
1040,133000.0
768,133000.0
970,132500.0
999,132500.0
1148,132500.0
1190,132500.0
1412,132500.0
954,132500.0
1040,132250.0
854,132000.0
972,132000.0
1268,132000.0
928,132000.0
1432,132000.0
1057,132000.0
1795,131500.0
848,131500.0
1039,131500.0
1144,131400.0
1716,131000.0
902,131000.0
1218,131000.0
1479,130500.0
1200,130500.0
816,130500.0
938,130250.0
1360,130000.0
1709,130000.0
1709,130000.0
1316,130000.0
1352,130000.0
899,130000.0
838,130000.0
894,130000.0
1964,130000.0
874,130000.0
1708,130000.0
1774,129900.0
1060,129900.0
864,129900.0
816,129900.0
1040,129500.0
845,129500.0
768,129500.0
2058,129500.0
1144,129000.0
2380,129000.0
960,129000.0
1120,129000.0
864,129000.0
936,129000.0
894,129000.0
913,129000.0
1225,128950.0
1050,128900.0
1382,128500.0
988,128500.0
971,128500.0
864,128500.0
894,128200.0
958,128000.0
1362,128000.0
1647,128000.0
1484,128000.0
1067,128000.0
1063,128000.0
1324,128000.0
1355,127500.0
1689,127500.0
864,127500.0
980,127500.0
1367,127500.0
1069,127500.0
955,127000.0
1285,127000.0
1252,127000.0
864,127000.0
1691,127000.0
1040,127000.0
1355,127000.0
1507,127000.0
1475,127000.0
1065,126500.0
1163,126175.0
1134,126000.0
1734,126000.0
990,126000.0
902,125500.0
1360,125500.0
1154,125500.0
1363,125500.0
1728,125000.0
1200,125000.0
912,125000.0
752,125000.0
1125,125000.0
825,125000.0
1164,125000.0
1472,125000.0
894,125000.0
1365,125000.0
780,124900.0
1869,124900.0
816,124500.0
1960,124500.0
1041,124500.0
864,124500.0
1040,124000.0
1750,124000.0
1229,124000.0
932,124000.0
1584,124000.0
1144,124000.0
990,123600.0
1148,123500.0
1319,123000.0
894,123000.0
872,123000.0
900,123000.0
924,122900.0
1365,122500.0
2290,122500.0
969,122000.0
900,122000.0
1889,122000.0
2358,122000.0
1230,121600.0
1392,121500.0
952,121000.0
778,120500.0
864,120500.0
816,120500.0
864,120500.0
1340,120000.0
1217,120000.0
1183,120000.0
912,120000.0
864,120000.0
1130,120000.0
1158,120000.0
1118,119900.0
965,119900.0
954,119750.0
1376,119500.0
950,119500.0
923,119500.0
1302,119500.0
1082,119200.0
1728,119000.0
1367,119000.0
904,119000.0
1252,119000.0
988,119000.0
948,119000.0
804,119000.0
1535,118964.0
1535,118858.0
1216,118500.0
816,118500.0
1029,118500.0
2230,118500.0
1012,118400.0
1077,118000.0
987,118000.0
1440,118000.0
1128,118000.0
1218,118000.0
698,118000.0
925,117500.0
2210,117500.0
1635,117000.0
833,117000.0
1348,117000.0
1604,117000.0
1111,116900.0
858,116500.0
864,116050.0
1118,116000.0
1250,116000.0
910,116000.0
789,115000.0
1517,115000.0
864,115000.0
1344,115000.0
1639,115000.0
1028,115000.0
1304,115000.0
1771,115000.0
1005,115000.0
1224,115000.0
912,115000.0
864,115000.0
1368,114504.0
1176,114500.0
912,114500.0
1452,113000.0
1487,113000.0
988,113000.0
1218,113000.0
1048,113000.0
672,113000.0
928,112500.0
882,112500.0
1310,112000.0
1302,112000.0
960,112000.0
1902,112000.0
1416,112000.0
833,112000.0
1346,112000.0
864,111250.0
948,111000.0
866,110500.0
1103,110500.0
816,110000.0
1230,110000.0
1284,110000.0
1196,110000.0
813,110000.0
1203,110000.0
924,110000.0
1392,110000.0
1776,110000.0
773,110000.0
858,110000.0
894,110000.0
892,110000.0
1040,109900.0
904,109900.0
1196,109900.0
1040,109500.0
792,109500.0
784,109500.0
894,109500.0
907,109008.0
1057,109000.0
1034,109000.0
1258,108959.0
960,108500.0
1073,108480.0
672,108000.0
1126,108000.0
1336,108000.0
996,108000.0
1510,108000.0
948,108000.0
901,107900.0
827,107500.0
1347,107500.0
2372,107500.0
1605,107400.0
1328,107000.0
1117,107000.0
1056,107000.0
882,106500.0
951,106500.0
1294,106250.0
987,106000.0
2138,106000.0
1302,106000.0
720,105900.0
832,105500.0
875,105000.0
1376,105000.0
1374,105000.0
1258,105000.0
1214,105000.0
1221,104900.0
1738,104900.0
2229,104000.0
1369,103600.0
882,103200.0
1208,103000.0
1178,102776.0
1220,102000.0
1522,102000.0
986,102000.0
1224,101800.0
1111,101000.0
1047,100000.0
1123,100000.0
968,100000.0
788,100000.0
1301,100000.0
987,100000.0
892,100000.0
1664,100000.0
816,100000.0
864,99900.0
918,99500.0
1235,98600.0
1048,98300.0
864,98000.0
1344,98000.0
1529,98000.0
1458,97500.0
864,97000.0
882,97000.0
1344,97000.0
789,96500.0
1140,96500.0
1111,95000.0
1699,95000.0
960,94750.0
987,94500.0
1020,94000.0
1040,93500.0
974,93500.0
1387,93000.0
936,93000.0
1124,93000.0
1040,92900.0
630,92000.0
1456,91500.0
1218,91500.0
886,91300.0
988,91000.0
1077,91000.0
790,91000.0
694,90350.0
1296,90000.0
2337,90000.0
1040,90000.0
987,89500.0
1406,89500.0
1131,89471.0
616,89000.0
858,88000.0
1092,88000.0
1015,88000.0
1092,88000.0
1040,87500.0
840,87000.0
803,87000.0
1774,87000.0
1248,87000.0
630,86000.0
605,86000.0
691,86000.0
869,85500.0
987,85400.0
1526,85000.0
1112,85000.0
796,85000.0
1022,85000.0
930,84900.0
754,84500.0
630,84500.0
1140,84500.0
845,84000.0
1092,83500.0
835,83000.0
987,83000.0
861,82500.0
1411,82500.0
708,82500.0
1152,82000.0
841,82000.0
944,82000.0
1184,81000.0
630,81000.0
894,81000.0
912,80500.0
747,80000.0
630,80000.0
1006,80000.0
924,80000.0
1198,79900.0
747,79900.0
935,79500.0
1096,79000.0
1440,79000.0
774,79000.0
1192,78000.0
1306,76500.0
784,76000.0
630,75500.0
1092,75000.0
764,73000.0
720,72500.0
520,68500.0
1128,68400.0
1077,67000.0
864,67000.0
1131,66500.0
968,64500.0
864,62383.0
904,61000.0
1276,60000.0
800,60000.0
438,60000.0
864,58500.0
1044,55993.0
1092,55000.0
796,55000.0
693,52500.0
729,52000.0
1317,40000.0
334,39300.0
968,37900.0
480,35311.0
720,34900.0
