BsmtExposure,SalePrice
No,176000.0
No,176000.0
No,176000.0
No,176000.0
No,176000.0
No,176000.0
No,175900.0
No,175900.0
No,175500.0
No,175500.0
No,175500.0
No,175000.0
Mn,175000.0
Av,175000.0
Av,175000.0
Gd,175000.0
Av,175000.0
No,175000.0
Av,175000.0
No,175000.0
Gd,174900.0
No,174500.0
Av,174000.0
No,174000.0
No,174000.0
No,174000.0
No,174000.0
No,174000.0
No,174000.0
No,173900.0
Av,173733.0
No,173500.0
Av,173000.0
No,173000.0
No,173000.0
Mn,173000.0
No,173000.0
No,173000.0
No,173000.0
No,172785.0
No,172500.0
No,172500.0
Av,172500.0
No,172500.0
No,172500.0
No,172400.0
Av,172000.0
No,171900.0
No,171750.0
No,171500.0
No,171000.0
No,171000.0
Gd,171000.0
Av,171000.0
No,171000.0
Gd,170000.0
Av,170000.0
No,170000.0
Mn,170000.0
No,170000.0
No,170000.0
Gd,170000.0
No,170000.0
No,169990.0
Av,169900.0
No,169500.0
No,169500.0
NA,169000.0
Av,169000.0
No,169000.0
No,168500.0
No,168500.0
Gd,168500.0
No,168000.0
No,168000.0
No,168000.0
Av,168000.0
Gd,167900.0
No,167900.0
No,167500.0
No,167500.0
No,167500.0
Av,167240.0
No,167000.0
Gd,167000.0
No,167000.0
No,167000.0
No,166000.0
No,166000.0
No,165600.0
No,165500.0
Av,165500.0
Av,165500.0
No,165400.0
No,165150.0
Gd,165000.0
No,165000.0
No,165000.0
Mn,165000.0
No,165000.0
No,165000.0
No,165000.0
No,165000.0
Av,164990.0
No,164900.0
No,164700.0
Av,164500.0
Av,164500.0
No,164000.0
No,164000.0
Av,164000.0
No,163990.0
No,163900.0
No,163500.0
No,163500.0
No,163000.0
Mn,163000.0
No,163000.0
No,163000.0
No,162900.0
No,162900.0
No,162500.0
No,162000.0
No,162000.0
No,162000.0
No,162000.0
No,161750.0
No,161500.0
Av,161500.0
No,161000.0
No,161000.0
No,160200.0
No,160000.0
No,160000.0
No,160000.0
Mn,160000.0
No,160000.0
No,160000.0
Mn,160000.0
No,160000.0
No,160000.0
Gd,160000.0
Av,160000.0
No,160000.0
Av,159950.0
Av,159895.0
No,159500.0
No,159500.0
Mn,159500.0
No,159434.0
No,159000.0
No,159000.0
No,159000.0
No,159000.0
Mn,158900.0
No,158500.0
No,158000.0
Gd,158000.0
No,158000.0
No,158000.0
Gd,158000.0
No,158000.0
No,157900.0
No,157900.0
No,157500.0
No,157500.0
No,157000.0
Mn,157000.0
No,157000.0
No,157000.0
No,157000.0
No,157000.0
No,156932.0
No,156500.0
No,156000.0
Av,156000.0
No,156000.0
No,156000.0
Mn,155900.0
No,155835.0
No,155000.0
No,155000.0
No,155000.0
No,155000.0
No,155000.0
No,155000.0
Mn,155000.0
No,155000.0
Av,155000.0
No,155000.0
No,155000.0
No,155000.0
Mn,155000.0
No,155000.0
No,154900.0
No,154500.0
No,154300.0
Mn,154000.0
No,154000.0
Mn,154000.0
No,154000.0
No,154000.0
No,153900.0
Mn,153900.0
No,153575.0
No,153500.0
No,153500.0
No,153500.0
Av,153337.0
No,153000.0
Av,153000.0
Mn,153000.0
Mn,152000.0
No,152000.0
No,152000.0
No,152000.0
No,152000.0
No,152000.0
Mn,151500.0
No,151400.0
Av,151000.0
No,151000.0
No,151000.0
No,151000.0
No,151000.0
Gd,150900.0
No,150750.0
Mn,150500.0
No,150000.0
No,150000.0
No,150000.0
Gd,150000.0
No,149900.0
Av,149900.0
No,149900.0
No,149900.0
No,149700.0
No,149500.0
No,149500.0
No,149350.0
Av,149300.0
No,149000.0
Av,149000.0
No,149000.0
No,149000.0
No,148800.0
No,148500.0
No,148500.0
No,148500.0
No,148000.0
No,148000.0
Av,148000.0
Gd,148000.0
Av,148000.0
Av,148000.0
No,148000.0
No,147500.0
No,147400.0
No,147000.0
No,147000.0
No,147000.0
No,147000.0
Gd,147000.0
Av,147000.0
No,147000.0
No,147000.0
Av,147000.0
Av,146800.0
No,146500.0
No,146000.0
Mn,146000.0
No,146000.0
No,145900.0
No,145500.0
No,145250.0
No,145000.0
No,145000.0
No,145000.0
No,145000.0
Mn,145000.0
No,145000.0
No,145000.0
No,145000.0
No,145000.0
No,145000.0
No,145000.0
Av,145000.0
Av,145000.0
Gd,145000.0
No,144900.0
Gd,144500.0
Av,144500.0
No,144152.0
No,144000.0
Av,144000.0
No,144000.0
NA,144000.0
No,144000.0
No,144000.0
No,144000.0
No,144000.0
Av,144000.0
No,144000.0
No,143900.0
No,143750.0
No,143500.0
Av,143500.0
No,143250.0
No,143000.0
No,143000.0
Gd,143000.0
No,143000.0
Av,143000.0
Av,143000.0
Av,143000.0
No,143000.0
Mn,143000.0
No,143000.0
NA,142953.0
No,142600.0
Av,142500.0
No,142500.0
No,142500.0
Mn,142125.0
No,142000.0
Mn,142000.0
No,142000.0
No,142000.0
No,141500.0
No,141000.0
No,141000.0
No,141000.0
No,141000.0
No,141000.0
No,141000.0
Gd,141000.0
No,141000.0
No,140200.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
Av,140000.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
No,140000.0
Gd,140000.0
No,140000.0
Gd,140000.0
No,140000.0
Gd,140000.0
No,140000.0
No,140000.0
No,139950.0
No,139900.0
NA,139600.0
No,139500.0
No,139400.0
No,139400.0
No,139000.0
No,139000.0
No,139000.0
No,139000.0
No,139000.0
Av,139000.0
No,139000.0
No,139000.0
Mn,139000.0
No,139000.0
Av,139000.0
Mn,138887.0
Mn,138800.0
No,138500.0
Av,138500.0
No,138000.0
No,138000.0
No,138000.0
No,137900.0
Gd,137500.0
Av,137500.0
No,137500.0
No,137500.0
No,137500.0
Mn,137500.0
No,137450.0
No,137000.0
Av,137000.0
No,137000.0
No,137000.0
No,137000.0
No,136905.0
No,136900.0
No,136500.0
No,136500.0
No,136500.0
No,136500.0
Av,136500.0
No,136000.0
No,136000.0
No,136000.0
Gd,135960.0
No,135900.0
No,135750.0
Av,135500.0
No,135500.0
No,135000.0
No,135000.0
No,135000.0
Av,135000.0
No,135000.0
No,135000.0
Gd,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
No,135000.0
Av,134900.0
No,134900.0
Mn,134800.0
No,134500.0
Av,134500.0
No,134450.0
NA,134432.0
No,134000.0
No,134000.0
No,134000.0
Mn,133900.0
Av,133900.0
No,133700.0
Av,133500.0
No,133000.0
Av,133000.0
No,133000.0
No,133000.0
No,133000.0
Av,133000.0
No,132500.0
No,132500.0
No,132500.0
Av,132500.0
No,132500.0
Av,132500.0
Gd,132250.0
No,132000.0
No,132000.0
No,132000.0
No,132000.0
No,132000.0
No,132000.0
No,131500.0
Av,131500.0
Mn,131500.0
No,131400.0
No,131000.0
Av,131000.0
No,131000.0
No,130500.0
No,130500.0
No,130500.0
Av,130250.0
No,130000.0
No,130000.0
No,130000.0
No,130000.0
Av,130000.0
No,130000.0
Mn,130000.0
No,130000.0
Av,130000.0
No,130000.0
No,130000.0
No,129900.0
No,129900.0
No,129900.0
No,129900.0
No,129500.0
No,129500.0
Av,129500.0
No,129500.0
Av,129000.0
No,129000.0
Av,129000.0
No,129000.0
No,129000.0
No,129000.0
No,129000.0
Gd,129000.0
No,128950.0
No,128900.0
No,128500.0
No,128500.0
Gd,128500.0
Mn,128500.0
Av,128200.0
No,128000.0
Mn,128000.0
No,128000.0
No,128000.0
No,128000.0
No,128000.0
No,128000.0
No,127500.0
No,127500.0
No,127500.0
Gd,127500.0
No,127500.0
No,127500.0
No,127000.0
No,127000.0
No,127000.0
Av,127000.0
No,127000.0
No,127000.0
No,127000.0
No,127000.0
No,127000.0
No,126500.0
No,126175.0
No,126000.0
NA,126000.0
No,126000.0
No,125500.0
No,125500.0
No,125500.0
No,125500.0
No,125000.0
No,125000.0
No,125000.0
No,125000.0
Av,125000.0
No,125000.0
No,125000.0
Mn,125000.0
No,125000.0
No,125000.0
Av,124900.0
No,124900.0
Gd,124500.0
No,124500.0
No,124500.0
No,124500.0
No,124000.0
No,124000.0
No,124000.0
No,124000.0
No,124000.0
No,124000.0
No,123600.0
Mn,123500.0
No,123000.0
Av,123000.0
No,123000.0
Av,123000.0
Mn,122900.0
No,122500.0
No,122500.0
Av,122000.0
No,122000.0
No,122000.0
No,122000.0
No,121600.0
No,121500.0
No,121000.0
No,120500.0
No,120500.0
Av,120500.0
No,120500.0
NA,120000.0
No,120000.0
No,120000.0
No,120000.0
No,120000.0
No,120000.0
No,120000.0
Mn,119900.0
No,119900.0
No,119750.0
No,119500.0
No,119500.0
No,119500.0
No,119500.0
No,119200.0
No,119000.0
No,119000.0
No,119000.0
No,119000.0
No,119000.0
No,119000.0
No,119000.0
NA,118964.0
NA,118858.0
No,118500.0
Av,118500.0
Mn,118500.0
No,118500.0
No,118400.0
No,118000.0
No,118000.0
No,118000.0
No,118000.0
No,118000.0
No,118000.0
No,117500.0
Mn,117500.0
No,117000.0
No,117000.0
No,117000.0
No,117000.0
No,116900.0
Gd,116500.0
No,116050.0
No,116000.0
No,116000.0
Av,116000.0
No,115000.0
No,115000.0
No,115000.0
No,115000.0
No,115000.0
No,115000.0
Mn,115000.0
NA,115000.0
No,115000.0
No,115000.0
No,115000.0
No,115000.0
No,114504.0
No,114500.0
No,114500.0
No,113000.0
No,113000.0
No,113000.0
No,113000.0
No,113000.0
No,113000.0
No,112500.0
No,112500.0
No,112000.0
No,112000.0
No,112000.0
NA,112000.0
No,112000.0
No,112000.0
No,112000.0
No,111250.0
No,111000.0
No,110500.0
No,110500.0
Gd,110000.0
No,110000.0
No,110000.0
Mn,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
No,110000.0
NA,109900.0
No,109900.0
No,109900.0
NA,109500.0
No,109500.0
No,109500.0
No,109500.0
No,109008.0
No,109000.0
No,109000.0
Av,108959.0
No,108500.0
No,108480.0
No,108000.0
NA,108000.0
No,108000.0
No,108000.0
Mn,108000.0
No,108000.0
No,107900.0
NA,107500.0
Gd,107500.0
No,107500.0
No,107400.0
No,107000.0
Av,107000.0
No,107000.0
NA,106500.0
No,106500.0
NA,106250.0
No,106000.0
No,106000.0
No,106000.0
No,105900.0
No,105500.0
No,105000.0
No,105000.0
No,105000.0
Mn,105000.0
No,105000.0
No,104900.0
No,104900.0
No,104000.0
No,103600.0
No,103200.0
No,103000.0
Mn,102776.0
No,102000.0
No,102000.0
No,102000.0
NA,101800.0
No,101000.0
No,100000.0
No,100000.0
No,100000.0
No,100000.0
Mn,100000.0
No,100000.0
No,100000.0
NA,100000.0
Mn,100000.0
No,99900.0
No,99500.0
No,98600.0
NA,98300.0
No,98000.0
No,98000.0
NA,98000.0
No,97500.0
No,97000.0
NA,97000.0
No,97000.0
No,96500.0
No,96500.0
Mn,95000.0
Mn,95000.0
No,94750.0
No,94500.0
No,94000.0
NA,93500.0
Mn,93500.0
No,93000.0
No,93000.0
NA,93000.0
NA,92900.0
Av,92000.0
Mn,91500.0
No,91500.0
No,91300.0
Gd,91000.0
No,91000.0
Mn,91000.0
No,90350.0
NA,90000.0
No,90000.0
NA,90000.0
No,89500.0
No,89500.0
No,89471.0
No,89000.0
No,88000.0
No,88000.0
No,88000.0
No,88000.0
NA,87500.0
No,87000.0
Av,87000.0
No,87000.0
No,87000.0
Av,86000.0
Mn,86000.0
No,86000.0
No,85500.0
No,85400.0
No,85000.0
No,85000.0
No,85000.0
No,85000.0
NA,84900.0
Av,84500.0
Av,84500.0
No,84500.0
NA,84000.0
No,83500.0
No,83000.0
No,83000.0
No,82500.0
No,82500.0
No,82500.0
NA,82000.0
No,82000.0
NA,82000.0
No,81000.0
Av,81000.0
No,81000.0
NA,80500.0
No,80000.0
Av,80000.0
No,80000.0
No,80000.0
No,79900.0
Mn,79900.0
No,79500.0
No,79000.0
No,79000.0
No,79000.0
Mn,78000.0
No,76500.0
No,76000.0
Av,75500.0
No,75000.0
No,73000.0
NA,72500.0
No,68500.0
No,68400.0
No,67000.0
No,67000.0
No,66500.0
No,64500.0
No,62383.0
Gd,61000.0
No,60000.0
No,60000.0
No,60000.0
No,58500.0
Av,55993.0
NA,55000.0
No,55000.0
No,52500.0
No,52000.0
No,40000.0
NA,39300.0
No,37900.0
Av,35311.0
No,34900.0
